timestamp_epoch,timestamp_iso,gpu_used_mib,gpu_free_mib,gpu_util_percent,gpu_temp_c,gpu_power_w,deepstream_vram_mib,deepstream_pids,uptime_minutes
1790127488.72,2026-09-23T01:38:08Z,13033.0,2809.0,100.0,70.0,146.7,11908.0,"72,8526,9263,9542",0.0
1790127548.77,2026-09-23T01:39:08Z,13003.0,2839.0,100.0,70.0,150.98,11908.0,"72,8526,9263,9542",1.0
1790127608.82,2026-09-23T01:40:08Z,12845.0,2997.0,100.0,69.0,143.49,11634.0,"72,9263,9542,9756",2.0
1790127668.86,2026-09-23T01:41:08Z,12723.0,3119.0,100.0,70.0,149.2,11636.0,"72,9263,9542,9756",3.0
1790127728.9,2026-09-23T01:42:08Z,12729.0,3113.0,100.0,71.0,150.01,11638.0,"72,9263,9542,9756",4.0
1790127788.94,2026-09-23T01:43:08Z,12806.0,3036.0,100.0,69.0,150.64,11640.0,"72,9263,9542,9756",5.0
1790127848.98,2026-09-23T01:44:08Z,7834.0,8008.0,100.0,71.0,146.29,6718.0,"72,9263,9756",6.0
1790127909.03,2026-09-23T01:45:09Z,7751.0,8091.0,100.0,71.0,154.68,6738.0,"72,9263,9756",7.01
1790127969.07,2026-09-23T01:46:09Z,7689.0,8153.0,100.0,72.0,156.27,6738.0,"72,9263,9756",8.01
1790128029.12,2026-09-23T01:47:09Z,7875.0,7967.0,100.0,71.0,148.18,6770.0,"72,9263,9756",9.01
1790128089.16,2026-09-23T01:48:09Z,7937.0,7906.0,100.0,72.0,156.01,6770.0,"72,9263,9756",10.01
1790128149.2,2026-09-23T01:49:09Z,7858.0,7985.0,100.0,73.0,157.22,6770.0,"72,9263,9756",11.01
1790128209.25,2026-09-23T01:50:09Z,7902.0,7940.0,100.0,71.0,147.17,6770.0,"72,9263,9756",12.01
1790128269.29,2026-09-23T01:51:09Z,7880.0,7962.0,100.0,70.0,144.0,6770.0,"72,9263,9756",13.01
1790128329.34,2026-09-23T01:52:09Z,7678.0,8165.0,100.0,72.0,156.43,6770.0,"72,9263,9756",14.01
1790128389.38,2026-09-23T01:53:09Z,7761.0,8081.0,100.0,74.0,158.19,6770.0,"72,9263,9756",15.01
