kind,camera,camera_name,tracker_objects,targets,decoder_objects,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,copy_wall_ms,23,0.3582,0.3002,0.7121,0.9279,0.9279
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,decoder_cuda_ms,23,42.2778,39.9046,54.7548,63.4528,63.4528
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,encoder_cuda_ms,23,9.5202,8.7042,13.5098,14.833,14.833
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,identity_verify_cuda_ms,23,4.1613,4.4302,6.2705,7.9532,7.9532
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,memory_encode_cuda_ms,23,9.5615,9.0871,15.8817,16.93,16.93
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,polygon_postprocess_host_ms,23,3.2808,3.0042,6.3088,6.4836,6.4836
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,queue_wait_ms,23,52.915,29.104,161.947,193.9142,193.9142
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,segment_wall_ms,23,75.4782,71.1155,98.6169,106.5425,106.5425
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,t0_t1_ms,23,53.7131,30.395,162.8474,194.6442,194.6442
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,t1_t2_last_ms,23,68.3487,65.0085,91.0141,98.2754,98.2754
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,3,tracker_to_rgba_ms,23,0.2844,0.2041,0.7049,1.2452,1.2452
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,copy_wall_ms,18,0.4721,0.304,1.6613,1.6613,1.6613
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,decoder_cuda_ms,18,50.962,50.3,73.3369,73.3369,73.3369
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,encoder_cuda_ms,18,10.0326,10.1726,15.1537,15.1537,15.1537
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,identity_verify_cuda_ms,18,5.7018,5.8415,9.576,9.576,9.576
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,memory_encode_cuda_ms,18,8.3387,7.9886,12.8607,12.8607,12.8607
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,polygon_postprocess_host_ms,18,3.3209,3.2585,6.7453,6.7453,6.7453
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,queue_wait_ms,18,31.238,16.1694,139.5101,139.5101,139.5101
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,segment_wall_ms,18,87.4607,90.1901,110.7689,110.7689,110.7689
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,t0_t1_ms,18,32.3298,18.1526,141.2887,141.2887,141.2887
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,t1_t2_last_ms,18,82.5386,82.1921,109.0463,109.0463,109.0463
frame,06e9e5b9,Cam góc rộng toàn sân,3,5,4,tracker_to_rgba_ms,18,0.4751,0.2325,1.7046,1.7046,1.7046
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,copy_wall_ms,2,0.9433,0.3139,1.5728,1.5728,1.5728
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,decoder_cuda_ms,2,63.6627,58.3209,69.0046,69.0046,69.0046
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,encoder_cuda_ms,2,8.4888,6.5968,10.3809,10.3809,10.3809
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,identity_verify_cuda_ms,2,2.9035,2.8356,2.9713,2.9713,2.9713
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,memory_encode_cuda_ms,2,10.867,10.6794,11.0546,11.0546,11.0546
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,polygon_postprocess_host_ms,2,3.0646,2.5971,3.532,3.532,3.532
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,queue_wait_ms,2,2.5168,2.3974,2.6363,2.6363,2.6363
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,segment_wall_ms,2,96.6346,87.9703,105.299,105.299,105.299
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,t0_t1_ms,2,3.7697,3.2493,4.2901,4.2901,4.2901
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,t1_t2_last_ms,2,88.7464,83.2755,94.2174,94.2174,94.2174
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,4,tracker_to_rgba_ms,2,0.1746,0.1567,0.1924,0.1924,0.1924
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,copy_wall_ms,9,0.2659,0.2752,0.3802,0.3802,0.3802
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,decoder_cuda_ms,9,65.7535,66.256,77.1047,77.1047,77.1047
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,encoder_cuda_ms,9,9.1721,8.7417,13.1588,13.1588,13.1588
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,identity_verify_cuda_ms,9,5.5881,5.5087,8.0086,8.0086,8.0086
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,memory_encode_cuda_ms,9,8.7248,7.9277,13.2713,13.2713,13.2713
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,polygon_postprocess_host_ms,9,3.2508,2.8102,5.904,5.904,5.904
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,queue_wait_ms,9,18.7533,17.7368,44.0228,44.0228,44.0228
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,segment_wall_ms,9,102.1674,105.6776,116.0708,116.0708,116.0708
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,t0_t1_ms,9,19.354,18.4404,44.6918,44.6918,44.6918
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,t1_t2_last_ms,9,96.1741,93.6426,113.0818,113.0818,113.0818
frame,06e9e5b9,Cam góc rộng toàn sân,3,6,5,tracker_to_rgba_ms,9,0.1824,0.182,0.3071,0.3071,0.3071
frame,06e9e5b9,Cam góc rộng toàn sân,3,,,copy_wall_ms,157,0.4754,0.3042,1.4759,1.903,1.9211
