camera,metric,n,mean,p95,p99,maximum
c7e22c1f,t0_t1_ms,833,25.212270522208883,61.143587,82.116336,123.508095
c7e22c1f,t1_t2_ms,833,27.96528663265306,43.253648,50.354087,124.139901
c7e22c1f,t2_t3_ms,833,33.828616019207686,63.754049,98.881911,135.20569
c7e22c1f,t0_t3_ms,833,87.00617317406963,139.097213,180.77932,241.506646
b1269e28,t0_t1_ms,1936,37.109801738636364,87.992405,145.344244,179.517289
b1269e28,t1_t2_ms,1936,65.730461491219,120.157372,139.683876,233.312277
b1269e28,t2_t3_ms,1936,42.29342482696281,91.077453,145.764587,188.089018
b1269e28,t0_t3_ms,1936,145.1336880568182,238.157922,289.79181,355.356782
1ac2ffac,t0_t1_ms,1,40.593756,40.593756,40.593756,40.593756
1ac2ffac,t1_t2_ms,1,15.045918,15.045918,15.045918,15.045918
1ac2ffac,t2_t3_ms,1,47.041039,47.041039,47.041039,47.041039
1ac2ffac,t0_t3_ms,1,102.680713,102.680713,102.680713,102.680713
e0606b55,t0_t1_ms,731,25.483926399452805,66.014705,99.66301,148.403867
e0606b55,t1_t2_ms,731,30.51265913406293,51.060156,64.271801,106.732761
e0606b55,t2_t3_ms,731,42.92256185499316,152.342319,221.717944,253.858046
e0606b55,t0_t3_ms,731,98.91914738850889,270.63705,287.284174,298.143119
d1f37ed1,t0_t1_ms,260,26.845907973076923,66.454448,133.369886,151.343698
d1f37ed1,t1_t2_ms,260,24.843859973076924,35.297405,40.307011,54.03165
d1f37ed1,t2_t3_ms,260,47.96728786153846,193.821943,242.289407,290.286014
d1f37ed1,t0_t3_ms,260,99.6570558076923,274.653703,352.420443,374.180402
06e9e5b9,t0_t1_ms,1092,32.52991211263736,109.192237,164.737829,194.64416
06e9e5b9,t1_t2_ms,1092,51.08605928663004,89.674018,105.675843,122.974943
06e9e5b9,t2_t3_ms,1092,44.52145417399267,147.075816,232.071297,262.457511
06e9e5b9,t0_t3_ms,1092,128.13742557326006,283.23204,293.303935,341.321893
