epoch_ms,power_w,temperature_c,sm_percent,mem_percent,decode_percent,vram_mb,phase
1790072096000.0,122.0,66.0,86.0,30.0,5.0,3214.0,live
1790072097000.0,118.0,68.0,86.0,29.0,5.0,3246.0,live
1790072098000.0,117.0,67.0,83.0,26.0,5.0,3282.0,live
1790072099000.0,116.0,67.0,91.0,32.0,5.0,3342.0,live
1790072100000.0,116.0,67.0,88.0,31.0,6.0,3398.0,live
1790072101000.0,121.0,68.0,95.0,36.0,5.0,3435.0,live
1790072102000.0,120.0,67.0,92.0,31.0,6.0,3493.0,live
1790072103000.0,119.0,67.0,89.0,34.0,5.0,3531.0,live
1790072104000.0,122.0,67.0,93.0,33.0,6.0,3563.0,live
1790072106000.0,117.0,60.0,51.0,15.0,6.0,3565.0,live
1790072107000.0,114.0,65.0,92.0,30.0,4.0,3566.0,live
1790072108000.0,118.0,67.0,88.0,29.0,6.0,3566.0,live
1790072109000.0,119.0,67.0,88.0,32.0,5.0,3566.0,live
1790072110000.0,124.0,67.0,85.0,30.0,6.0,3636.0,live
1790072111000.0,117.0,66.0,92.0,32.0,5.0,3636.0,live
1790072112000.0,120.0,65.0,85.0,30.0,5.0,3636.0,live
1790072113000.0,118.0,66.0,89.0,31.0,4.0,3637.0,live
1790072114000.0,123.0,66.0,79.0,28.0,6.0,3637.0,live
1790072115000.0,117.0,63.0,92.0,32.0,4.0,3637.0,live
1790072116000.0,120.0,63.0,88.0,31.0,5.0,3637.0,live
1790072117000.0,115.0,63.0,86.0,29.0,5.0,3637.0,live
1790072118000.0,119.0,63.0,94.0,32.0,6.0,3638.0,live
1790072119000.0,116.0,65.0,90.0,32.0,5.0,3638.0,live
1790072120000.0,119.0,63.0,90.0,34.0,5.0,3638.0,live
1790072121000.0,117.0,65.0,87.0,32.0,5.0,3638.0,live
1790072122000.0,116.0,65.0,90.0,31.0,5.0,3639.0,live
1790072123000.0,111.0,62.0,93.0,34.0,5.0,3659.0,live
1790072124000.0,117.0,64.0,87.0,33.0,5.0,3771.0,live
1790072125000.0,118.0,62.0,88.0,30.0,5.0,3774.0,live
1790072126000.0,112.0,63.0,87.0,29.0,5.0,3774.0,live
1790072128000.0,109.0,63.0,84.0,26.0,5.0,3774.0,live
1790072129000.0,114.0,63.0,86.0,30.0,5.0,3775.0,live
1790072130000.0,112.0,64.0,84.0,30.0,5.0,3775.0,live
1790072131000.0,108.0,62.0,80.0,27.0,5.0,3776.0,live
1790072136000.0,105.0,62.0,86.0,32.0,4.0,3778.0,live
1790072137000.0,115.0,63.0,92.0,32.0,4.0,3778.0,live
1790072138000.0,112.0,63.0,89.0,29.0,5.0,3779.0,live
1790072139000.0,108.0,60.0,80.0,26.0,5.0,3779.0,live
1790072140000.0,110.0,63.0,85.0,30.0,6.0,3780.0,live
1790072141000.0,117.0,63.0,93.0,35.0,5.0,3780.0,live
1790072142000.0,117.0,63.0,85.0,26.0,5.0,3781.0,live
1790072143000.0,110.0,61.0,85.0,30.0,5.0,3782.0,live
1790072144000.0,116.0,64.0,86.0,30.0,6.0,3782.0,live
1790072145000.0,112.0,60.0,93.0,32.0,6.0,3783.0,live
1790072146000.0,113.0,63.0,91.0,31.0,6.0,3784.0,live
1790072147000.0,104.0,60.0,85.0,28.0,5.0,3784.0,live
1790072148000.0,116.0,63.0,89.0,31.0,4.0,3785.0,live
1790072150000.0,113.0,62.0,81.0,31.0,6.0,3785.0,live
1790072151000.0,108.0,62.0,82.0,26.0,4.0,3786.0,live
1790072152000.0,113.0,61.0,86.0,29.0,4.0,3786.0,live
1790072153000.0,113.0,61.0,82.0,27.0,5.0,3787.0,live
1790072154000.0,115.0,60.0,89.0,34.0,7.0,3787.0,live
1790072155000.0,109.0,59.0,83.0,28.0,5.0,3787.0,live
1790072156000.0,115.0,61.0,84.0,30.0,4.0,3787.0,live
1790072157000.0,117.0,63.0,87.0,32.0,5.0,3787.0,live
1790072158000.0,120.0,62.0,85.0,29.0,4.0,3788.0,live
1790072159000.0,115.0,61.0,87.0,29.0,5.0,3788.0,live
1790072160000.0,115.0,62.0,92.0,35.0,5.0,3788.0,live
1790072161000.0,119.0,60.0,89.0,31.0,5.0,3788.0,live
1790072162000.0,117.0,61.0,91.0,31.0,5.0,3788.0,live
1790072163000.0,121.0,62.0,94.0,36.0,5.0,3788.0,live
1790072164000.0,111.0,59.0,74.0,26.0,5.0,3789.0,live
1790072165000.0,116.0,62.0,91.0,32.0,5.0,3789.0,live
1790072166000.0,119.0,63.0,94.0,35.0,5.0,3789.0,live
1790072167000.0,117.0,62.0,84.0,26.0,5.0,3789.0,live
1790072168000.0,114.0,60.0,91.0,33.0,5.0,3789.0,live
1790072169000.0,116.0,62.0,92.0,34.0,5.0,3789.0,live
1790072170000.0,115.0,62.0,91.0,36.0,5.0,3790.0,live
1790072172000.0,117.0,63.0,84.0,32.0,9.0,3790.0,live
1790072173000.0,118.0,62.0,87.0,31.0,5.0,3790.0,live
1790072174000.0,118.0,62.0,77.0,25.0,5.0,3790.0,live
1790072175000.0,114.0,63.0,91.0,34.0,5.0,3790.0,live
1790072176000.0,121.0,63.0,87.0,32.0,5.0,3791.0,live
1790072177000.0,119.0,63.0,93.0,34.0,4.0,3791.0,live
1790072178000.0,119.0,64.0,91.0,33.0,5.0,3791.0,live
1790072179000.0,119.0,62.0,91.0,32.0,5.0,3791.0,live
