camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
c7e22c1f,2,1790072083337,637720350230612,,,,,0.08122,3.683112,4.811852,1.04752,
c7e22c1f,4,1790072083713,637720726207560,,,,,0.197514,0.329462,1.908778,1.381802,375.976948
c7e22c1f,5,1790072083860,637720873086504,,,,,0.335538,2.615105,3.790161,0.839518,146.878944
b1269e28,0,1790072083865,637720878305181,,,,,0.293552,0.370469,1.518437,0.854416,
c7e22c1f,6,1790072083870,637720883469630,,,,,0.144993,4.276858,5.222176,0.800325,10.383126
1ac2ffac,1,1790072083875,637720888484663,,,,,0.110184,4.593043,5.332714,0.629487,
c7e22c1f,8,1790072083875,637720888594691,,,,,0.062032,1.483538,2.199466,0.653896,5.125061
1ac2ffac,2,1790072083926,637720939724207,,,,,0.147393,4.413015,5.423593,0.863185,51.239544
c7e22c1f,9,1790072083926,637720939799644,,,,,0.044961,3.763777,4.629391,0.820653,51.204953
b1269e28,1,1790072083926,637720939850383,,,,,0.030952,3.502063,4.344331,0.811316,61.545202
1ac2ffac,3,1790072083942,637720955089402,,,,,0.114122,2.267407,3.137285,0.755756,15.365195
c7e22c1f,10,1790072083942,637720955173143,,,,,0.054184,1.042157,1.823212,0.726871,15.373499
b1269e28,2,1790072083957,637720970612493,,,,,0.146464,3.327413,4.31303,0.839153,30.76211
e0606b55,0,1790072083962,637720975639386,,,,,0.166283,1.226198,2.007987,0.615506,
1ac2ffac,4,1790072083988,637721001304669,,,,,0.161424,2.53867,3.478102,0.778008,46.215267
e0606b55,1,1790072083998,637721011961829,,,,,0.226061,4.45772,5.845096,1.161315,36.322443
b1269e28,3,1790072083999,637721012267814,,,,,0.180917,2.387593,3.938586,1.370076,41.655321
c7e22c1f,11,1790072083999,637721012358672,,,,,0.071579,0.735974,2.21645,1.408897,57.185529
1ac2ffac,5,1790072084029,637721042578126,,,,,0.199744,3.648317,4.890614,1.042553,41.273457
c7e22c1f,12,1790072084029,637721042657130,,,,,0.067692,3.647249,4.60212,0.887179,30.298458
b1269e28,4,1790072084034,637721047955621,,,,,0.169171,0.473185,1.68821,1.045854,35.687807
