pid,camera,camera_name,frame,object_id,label,is_label,epoch_ms,warmup,tracker_objects,targets,decoder_objects,worker,t0_ns,t1_ns,t2_ns,decoder_cuda_ms,decoder_host_ms,encoder_frame_cuda_ms,segment_wall_ms,queue_wait_ms,copy_wall_ms,cache_ns,has_mask,accepted,reject_reason,t2_cache_ms,t0_t1_ms,t1_t2_ms,t3_ns,output_frame,t2_t3_ms,t0_t3_ms,cache_t3_ms
1297,c7e22c1f,Cam mới,5,99041374876505,Robot_1,False,1790072083853.858,True,3,3,3,0,637720866938205,637720869047104,637721173031866,121.9781723022461,123.051002,176.40736389160156,355.690482,0.171422,0.357562,637721205707500,False,False,appearance_mismatch,32.675634,2.108899,303.984762,,,,,
1297,c7e22c1f,Cam mới,5,116093134008527,Robot_28100,False,1790072083853.858,True,3,3,3,0,637720866938205,637720869047104,637721217204839,10.82908821105957,10.624994,176.40736389160156,355.690482,0.171422,0.357562,637721218573458,False,False,ambiguous_identity,1.368619,2.108899,348.157735,,,,,
1297,c7e22c1f,Cam mới,5,192929494790659,Robot_6868,False,1790072083853.858,True,3,3,3,0,637720866938205,637720869047104,637721222997656,3.941728115081787,3.922544,176.40736389160156,355.690482,0.171422,0.357562,637721224757077,False,False,ambiguous_identity,1.759421,2.108899,353.950552,,,,,
1297,b1269e28,Cam 4,0,243160032179633,Rack,True,1790072083861.406,True,0,4,4,1,637720874485794,637720876528351,637721384668737,18.959232330322266,18.939249,255.94764614105225,779.233636,0.117615,1.308521,637721391307380,True,True,,6.638643,2.042557,508.140386,,,,,
1297,b1269e28,Cam 4,0,195964480550089,Robot_1,True,1790072083861.406,True,0,4,4,1,637720874485794,637720876528351,637721496007726,11.371328353881836,11.999006,255.94764614105225,779.233636,0.117615,1.308521,,,,,,2.042557,619.479375,,,,,
1297,b1269e28,Cam 4,0,210522476275567,Robot_2001,True,1790072083861.406,True,0,4,4,1,637720874485794,637720876528351,637721561081640,12.7774076461792,12.700262,255.94764614105225,779.233636,0.117615,1.308521,637721571435513,True,True,,10.353873,2.042557,684.553289,,,,,
1297,b1269e28,Cam 4,0,143948090256846,Robot_28100,True,1790072083861.406,True,0,4,4,1,637720874485794,637720876528351,637721647330541,17.697120666503906,17.373638,255.94764614105225,779.233636,0.117615,1.308521,637721655809336,True,True,,8.478795,2.042557,770.80219,,,,,
1297,1ac2ffac,Cam Dahua Ch2 Fixed,9,178935367336544,Robot_28100,True,1790072084179.775,True,0,1,1,0,637721192855248,637721224893193,637721385896459,59.246910095214844,59.224634,26.15654420852661,161.019744,30.991138,0.511688,,,,,,32.037945,161.003266,,,,,
1297,c7e22c1f,Cam mới,19,99041374876505,Robot_1,False,1790072084334.35,True,3,3,3,0,637721347429988,637721386042980,637721400595495,7.9415998458862305,10.101275,6.113952159881592,62.723595,38.053551,0.250091,637721425900447,False,False,appearance_mismatch,25.304952,38.612992,14.552515,,,,,
1297,c7e22c1f,Cam mới,19,116093134008527,Robot_28100,False,1790072084334.35,True,3,3,3,0,637721347429988,637721386042980,637721436637121,9.912735939025879,9.630631,6.113952159881592,62.723595,38.053551,0.250091,637721438060825,False,False,ambiguous_identity,1.423704,38.612992,50.594141,,,,,
1297,c7e22c1f,Cam mới,19,192929494790659,Robot_6868,False,1790072084334.35,True,3,3,3,0,637721347429988,637721386042980,637721447030431,8.444607734680176,5.887322,6.113952159881592,62.723595,38.053551,0.250091,637721448651335,False,False,ambiguous_identity,1.620904,38.612992,60.987451,,,,,
1297,d1f37ed1,Cam hik 1,9,75633145492296,Robot_1,True,1790072084408.66,True,1,2,2,0,637721421739804,637721448874054,637721510570104,11.896832466125488,11.718421,16.879040241241455,70.544015,26.595665,0.292051,,,,,,27.13425,61.69605,,,,,
1297,d1f37ed1,Cam hik 1,9,225725130912501,Robot_28100,False,1790072084408.66,True,1,2,2,0,637721421739804,637721448874054,637721519181432,6.655360221862793,6.620334,16.879040241241455,70.544015,26.595665,0.292051,,,,,,27.13425,70.307378,,,,,
1297,e0606b55,Cam hướng ra cửa,12,63456980483859,Robot_28100,False,1790072084444.282,True,2,2,2,0,637721457362526,637721519522530,637721550134252,17.717599868774414,23.530869,34.83529567718506,110.73073,59.497478,1.25738,637721553474327,False,False,appearance_mismatch,3.340075,62.160004,30.611722,,,,,
1297,e0606b55,Cam hướng ra cửa,12,259797768333273,Robot_6868,False,1790072084444.282,True,2,2,2,0,637721457362526,637721519522530,637721563836706,9.66806411743164,9.607351,34.83529567718506,110.73073,59.497478,1.25738,637721630194412,True,True,,66.357706,62.160004,44.314176,637721647995395,17,84.158689,190.632869,17.800983
1297,c7e22c1f,Cam mới,26,99041374876505,Robot_1,False,1790072084609.306,True,3,3,3,0,637721622385805,637721630349904,637721649822790,10.257120132446289,12.95295,26.060575485229492,92.78161,7.584311,0.16622,637721654146668,False,False,appearance_mismatch,4.323878,7.964099,19.472886,,,,,
1297,c7e22c1f,Cam mới,26,116093134008527,Robot_28100,False,1790072084609.306,True,3,3,3,0,637721622385805,637721630349904,637721661283422,6.604671955108643,5.753649,26.060575485229492,92.78161,7.584311,0.16622,637721712255039,True,True,,50.971617,7.964099,30.933518,637721811841312,31,150.55789,189.455507,99.586273
1297,c7e22c1f,Cam mới,26,192929494790659,Robot_6868,False,1790072084609.306,True,3,3,3,0,637721622385805,637721630349904,637721719809667,7.012479782104492,6.837722,26.060575485229492,92.78161,7.584311,0.16622,637721723117153,False,False,appearance_mismatch,3.307486,7.964099,89.459763,,,,,
1297,b1269e28,Cam 4,16,243160032179633,Rack,True,1790072084639.649,True,4,6,5,1,637721652728673,637721655909700,637721678279760,14.500096321105957,16.786054,7.353856086730957,109.327707,2.504169,0.271717,637721687482411,True,True,,9.202651,3.181027,22.37006,637721728337934,17,50.058174,75.609261,40.855523
1297,b1269e28,Cam 4,16,210522476275567,Robot_2001,True,1790072084639.649,True,4,6,5,1,637721652728673,637721655909700,637721703154638,15.341856002807617,15.401106,7.353856086730957,109.327707,2.504169,0.271717,637721709336219,True,True,,6.181581,3.181027,47.244938,637721728346245,17,25.191607,75.617572,19.010026
1297,b1269e28,Cam 4,16,273704318288618,Robot_28100,False,1790072084639.649,True,4,6,5,1,637721652728673,637721655909700,637721722009557,11.8919677734375,11.884831,7.353856086730957,109.327707,2.504169,0.271717,637721729058174,True,True,,7.048617,3.181027,66.099857,637721767229723,18,45.220166,114.50105,38.171549
1297,b1269e28,Cam 4,16,5410850743960,Robot_28100,False,1790072084639.649,True,4,6,5,1,637721652728673,637721655909700,637721742205969,12.565695762634277,12.102879,7.353856086730957,109.327707,2.504169,0.271717,637721745469501,False,False,appearance_mismatch,3.263532,3.181027,86.296269,,,,,
1297,b1269e28,Cam 4,16,123040021098947,Robot_6868,False,1790072084639.649,True,4,6,5,1,637721652728673,637721655909700,637721761581457,15.351424217224121,15.356717,7.353856086730957,109.327707,2.504169,0.271717,637721765220049,False,False,appearance_mismatch,3.638592,3.181027,105.671757,,,,,
1297,c7e22c1f,Cam mới,30,116093134008527,Robot_28100,False,1790072084667.682,True,3,3,1,0,637721680761658,637721779667931,637721804440222,15.44547176361084,19.93466,8.446784019470215,35.045391,98.326798,0.292939,637721814665154,True,True,,10.224932,98.906273,24.772291,637721841602021,32,37.161799,160.840363,26.936867
1297,06e9e5b9,Cam góc rộng toàn sân,16,37336231083205,Robot_28100,True,1790072084679.955,True,4,7,7,1,637721693034912,637721765356871,637721822472631,29.00124740600586,29.000491,56.307838916778564,233.788722,69.778493,1.454119,,,,,,72.321959,57.11576,,,,,
1297,06e9e5b9,Cam góc rộng toàn sân,16,39887468676787,Robot_6868,True,1790072084679.955,True,4,7,7,1,637721693034912,637721765356871,637721903880834,16.19196891784668,17.121931,56.307838916778564,233.788722,69.778493,1.454119,,,,,,72.321959,138.523963,,,,,
1297,06e9e5b9,Cam góc rộng toàn sân,16,190452056632062,Robot_2001,True,1790072084679.955,True,4,7,7,1,637721693034912,637721765356871,637721961627294,10.593888282775879,10.653745,56.307838916778564,233.788722,69.778493,1.454119,,,,,,72.321959,196.270423,,,,,
1297,06e9e5b9,Cam góc rộng toàn sân,16,225933359925938,Robot_28100,False,1790072084679.955,True,4,7,7,1,637721693034912,637721765356871,637721977386816,14.86787223815918,14.867099,56.307838916778564,233.788722,69.778493,1.454119,,,,,,72.321959,212.029945,,,,,
1297,06e9e5b9,Cam góc rộng toàn sân,16,70711888968577,Robot_28100,False,1790072084679.955,True,4,7,7,1,637721693034912,637721765356871,637721983628271,5.812384128570557,5.614967,56.307838916778564,233.788722,69.778493,1.454119,,,,,,72.321959,218.2714,,,,,
1297,06e9e5b9,Cam góc rộng toàn sân,16,192229909092040,Robot_6868,False,1790072084679.955,True,4,7,7,1,637721693034912,637721765356871,637721989682470,5.644832134246826,5.103681,56.307838916778564,233.788722,69.778493,1.454119,,,,,,72.321959,224.325599,,,,,
1297,06e9e5b9,Cam góc rộng toàn sân,16,192316710851159,Robot_6868,False,1790072084679.955,True,4,7,7,1,637721693034912,637721765356871,637721998512060,8.389632225036621,7.615351,56.307838916778564,233.788722,69.778493,1.454119,,,,,,72.321959,233.155189,,,,,
1297,d1f37ed1,Cam hik 1,17,225725130912501,Robot_28100,False,1790072084705.363,True,1,1,1,0,637721718442731,637721723232514,637721738821874,7.070303916931152,8.754685,7.9918718338012695,17.77969,2.419984,1.118703,637721740987753,False,False,appearance_mismatch,2.165879,4.789783,15.58936,,,,,
1297,e0606b55,Cam hướng ra cửa,19,63456980483859,Robot_28100,False,1790072084723.54,True,2,2,2,0,637721736620130,637721741117353,637721755204260,7.008800029754639,8.299266,5.952479839324951,38.446112,3.987781,0.235009,637721758330833,False,False,appearance_mismatch,3.126573,4.497223,14.086907,,,,,
1297,e0606b55,Cam hướng ra cửa,19,259797768333273,Robot_6868,False,1790072084723.54,True,2,2,2,0,637721736620130,637721741117353,637721773920446,15.317695617675781,14.613574,5.952479839324951,38.446112,3.987781,0.235009,637721779539426,True,True,,5.61898,4.497223,32.803093,637721802315897,21,28.395451,65.695767,22.776471
1297,e0606b55,Cam hướng ra cửa,21,259797768333273,Robot_6868,False,1790072084786.701,True,2,2,1,0,637721799780660,637721820267828,637721846140905,14.096896171569824,19.645796,9.816287994384766,35.742687,18.130942,1.912348,637721855967764,True,True,,9.826859,20.487168,25.873077,637721882465887,23,36.324982,82.685227,26.498123
1297,c7e22c1f,Cam mới,31,116093134008527,Robot_28100,False,1790072084798.225,True,3,3,1,0,637721811304455,637721856102311,637721879376379,13.166624069213867,17.543033,9.617024421691895,28.95193,44.356079,0.210051,637721884713673,True,True,,5.337294,44.797856,23.274068,637721893985460,33,14.609081,82.681005,9.271787
1297,e0606b55,Cam hướng ra cửa,23,259797768333273,Robot_6868,False,1790072084868.431,True,2,2,1,0,637721881510703,637721891048535,637721912493627,10.180288314819336,14.860013,6.291071891784668,25.930401,8.731197,0.300953,637721916975692,True,True,,4.482065,9.537832,21.445092,637721929004814,24,16.511187,47.494111,12.029122
1297,c7e22c1f,Cam mới,33,99041374876505,Robot_1,False,1790072084878.601,True,3,3,3,0,637721891680446,637721917080043,637721933020117,8.07699203491211,10.292924,6.757376194000244,49.705905,23.251188,0.930152,637721937486199,False,False,appearance_mismatch,4.466082,25.399597,15.940074,,,,,
1297,c7e22c1f,Cam mới,33,116093134008527,Robot_28100,False,1790072084878.601,True,3,3,3,0,637721891680446,637721917080043,637721950559179,12.839872360229492,12.512165,6.757376194000244,49.705905,23.251188,0.930152,637721954534867,True,True,,3.975688,25.399597,33.479136,637721972891990,35,22.332811,81.211544,18.357123
1297,c7e22c1f,Cam mới,33,192929494790659,Robot_6868,False,1790072084878.601,True,3,3,3,0,637721891680446,637721917080043,637721960975927,5.925600051879883,5.928455,6.757376194000244,49.705905,23.251188,0.930152,637721966652405,False,False,appearance_mismatch,5.676478,25.399597,43.895884,,,,,
1297,c7e22c1f,Cam mới,34,116093134008527,Robot_28100,False,1790072084910.326,True,3,3,1,0,637721923405979,637721966879339,637721983629492,7.951871871948242,11.124899,6.905920028686523,20.609906,42.041314,0.683475,637721987431271,True,True,,3.801779,43.47336,16.750153,637721998702190,36,15.072698,75.296211,11.270919
1297,e0606b55,Cam hướng ra cửa,25,259797768333273,Robot_6868,False,1790072084949.138,True,2,2,1,0,637721962217921,637721996715402,637722029385961,17.492639541625977,24.416721,13.417216300964355,37.41705,33.803283,0.334915,637722034149967,True,True,,4.764006,34.497481,32.670559,637722063034035,27,33.648074,100.816114,28.884068
