camera,source_frame,output_frame,object_id,total_ms,cache_attach_ms,next_tracker_ms,tracker_frames_before_attach,epoch_ms
e0606b55,286,287,259797768333273,294.611153,238.496976,237.786364,1,1790072095667.039
06e9e5b9,282,283,39887468676787,272.330903,196.560531,196.069006,1,1790072095767.219
e0606b55,429,430,259797768333273,270.160409,188.571563,187.567117,1,1790072101683.213
06e9e5b9,425,426,39887468676787,287.942907,239.297947,236.778547,1,1790072101743.109
06e9e5b9,425,426,190452056632062,287.949191,224.803798,222.278114,1,1790072101743.109
06e9e5b9,425,426,70711888968577,287.9347,201.249264,198.738071,1,1790072101743.109
e0606b55,474,475,259797768333273,292.559204,202.457562,201.893959,1,1790072103671.115
e0606b55,617,618,259797768333273,274.593008,215.917424,215.359581,1,1790072109675.94
e0606b55,665,666,259797768333273,295.147478,225.3691,224.87963,1,1790072111669.593
e0606b55,713,714,259797768333273,287.284174,222.506319,221.739979,1,1790072113678.093
e0606b55,761,762,259797768333273,282.001848,203.549934,202.137608,1,1790072115671.431
d1f37ed1,761,762,75633145492296,270.177485,187.830895,186.702876,1,1790072115770.096
06e9e5b9,853,854,39887468676787,280.629527,229.014819,228.058918,1,1790072119763.892
06e9e5b9,853,854,190452056632062,280.635584,210.390416,209.428458,1,1790072119763.892
06e9e5b9,853,854,70711888968577,280.621227,192.518041,191.57044,1,1790072119763.892
06e9e5b9,901,902,39887468676787,285.0449,237.973537,237.179906,1,1790072121752.059
06e9e5b9,901,902,190452056632062,285.047884,219.999298,219.202683,1,1790072121752.059
06e9e5b9,901,902,70711888968577,285.040283,183.257806,182.468792,1,1790072121752.059
e0606b55,952,953,259797768333273,272.088065,221.432928,218.571648,1,1790072123686.47
d1f37ed1,953,954,75633145492296,265.423043,211.342827,210.527153,1,1790072123772.138
e0606b55,1000,1001,259797768333273,288.227569,217.478033,215.419695,1,1790072125665.687
06e9e5b9,991,998,190452056632062,341.321893,217.134856,216.095173,1,1790072125686.364
06e9e5b9,991,998,70711888968577,341.306497,192.847094,191.822807,1,1790072125686.364
d1f37ed1,1000,1001,75633145492296,267.218479,205.601256,203.428849,1,1790072125763.129
d1f37ed1,1048,1049,75633145492296,272.623491,187.813052,187.105807,1,1790072127753.083
e0606b55,1142,1143,259797768333273,281.711177,204.87062,203.385056,1,1790072131681.411
d1f37ed1,1144,1145,75633145492296,285.243297,210.850402,210.178591,1,1790072131750.615
d1f37ed1,1144,1147,62396681866199,374.180402,282.837295,193.228379,3,1790072131750.615
d1f37ed1,1192,1193,75633145492296,295.227851,181.438094,180.576111,1,1790072133749.243
d1f37ed1,1192,1195,62396681866199,361.373528,227.374668,160.367008,3,1790072133749.243
e0606b55,1237,1238,259797768333273,284.846947,216.210453,215.576187,1,1790072135670.443
06e9e5b9,1234,1235,39887468676787,279.292725,200.879919,199.617745,1,1790072135760.437
06e9e5b9,1234,1235,190452056632062,279.295864,180.410052,179.144739,1,1790072135760.437
d1f37ed1,1287,1288,75633145492296,273.395803,190.668972,188.663447,1,1790072137752.714
06e9e5b9,1328,1329,39887468676787,275.344156,236.904111,236.103213,1,1790072139753.465
06e9e5b9,1328,1329,190452056632062,275.350858,210.984338,210.176738,1,1790072139753.465
e0606b55,1381,1382,259797768333273,265.751268,224.880208,223.799244,1,1790072141687.004
d1f37ed1,1383,1384,75633145492296,275.351751,189.734331,186.657281,1,1790072141758.06
e0606b55,1426,1427,259797768333273,277.747502,198.996301,198.336141,1,1790072143674.791
d1f37ed1,1431,1432,75633145492296,290.558508,194.309862,193.766914,1,1790072143754.89
d1f37ed1,1479,1480,75633145492296,295.942323,262.073868,260.904279,1,1790072145748.559
e0606b55,1519,1520,259797768333273,286.945525,186.083588,183.787438,1,1790072147671.771
06e9e5b9,1519,1520,39887468676787,290.693468,215.129119,214.212427,1,1790072147748.981
06e9e5b9,1519,1520,190452056632062,290.696344,191.913347,190.993779,1,1790072147748.981
d1f37ed1,1527,1528,75633145492296,292.911121,237.322462,236.752593,1,1790072147750.466
06e9e5b9,1567,1568,39887468676787,292.090067,237.616552,236.459199,1,1790072149750.215
06e9e5b9,1567,1568,190452056632062,292.096057,218.667829,217.504486,1,1790072149750.215
06e9e5b9,1567,1568,70711888968577,292.081652,203.475139,202.326201,1,1790072149750.215
d1f37ed1,1575,1576,75633145492296,274.653703,207.492976,206.682862,1,1790072149751.883
d1f37ed1,1623,1624,75633145492296,267.606132,188.490289,188.092076,1,1790072151763.319
e0606b55,1710,1711,259797768333273,277.673751,190.28113,189.597947,1,1790072155671.589
e0606b55,1758,1759,259797768333273,275.935061,217.12211,216.517265,1,1790072157676.323
e0606b55,1803,1804,259797768333273,280.50826,192.856665,191.977884,1,1790072159672.597
06e9e5b9,1806,1807,39887468676787,291.200156,257.131316,255.850269,1,1790072159751.528
06e9e5b9,1806,1807,190452056632062,291.206349,241.358138,240.070898,1,1790072159751.528
06e9e5b9,1806,1807,70711888968577,291.191742,221.862389,220.589756,1,1790072159751.528
e0606b55,1851,1852,259797768333273,278.123271,244.758842,243.801252,1,1790072161681.982
e0606b55,1899,1900,259797768333273,263.661135,209.622208,206.422002,1,1790072163688.119
06e9e5b9,1902,1903,39887468676787,276.915749,244.658717,242.129791,1,1790072163753.178
06e9e5b9,1902,1903,190452056632062,276.921883,228.315947,225.780887,1,1790072163753.178
06e9e5b9,1902,1903,70711888968577,276.907134,203.239973,200.719662,1,1790072163753.178
e0606b55,2036,2037,259797768333273,298.143119,224.14417,221.426541,1,1790072169669.863
06e9e5b9,2046,2047,39887468676787,300.183778,250.124377,249.336173,1,1790072169744.851
