run,camera,previous_frame,frame,tracker_gap_ms,pts_gap_ms,previous_emit_ms,other_camera_tracker_frames,other_cameras
controlled,c7e22c1f,3,4,374.142072,399.9983,,0,{}
controlled,e0606b55,47,48,280.54132,39.998861,1.017493,27,"{""c7e22c1f"": 7, ""b1269e28"": 6, ""1ac2ffac"": 7, ""d1f37ed1"": 5, ""06e9e5b9"": 2}"
controlled,d1f37ed1,47,48,273.221361,40.0,2.78159,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,42,43,294.883904,40.0,1.045155,28,"{""c7e22c1f"": 8, ""b1269e28"": 8, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 1}"
controlled,b1269e28,76,77,193.358507,49.999983,0.623948,21,"{""c7e22c1f"": 4, ""1ac2ffac"": 2, ""e0606b55"": 1, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,e0606b55,95,96,270.783441,39.999698,3.474176,34,"{""c7e22c1f"": 7, ""b1269e28"": 6, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,90,91,276.807263,40.00434,1.872018,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 0}"
controlled,d1f37ed1,95,96,284.274619,39.994812,0.836102,27,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 2}"
controlled,e0606b55,143,144,268.717535,39.999577,2.252686,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,138,139,271.076809,40.003699,0.616088,23,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""d1f37ed1"": 0}"
controlled,d1f37ed1,143,144,277.693139,40.002206,0.331297,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""06e9e5b9"": 2}"
controlled,e0606b55,191,192,281.880796,40.003666,0.767335,30,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 4, ""06e9e5b9"": 7}"
controlled,d1f37ed1,188,189,267.321573,39.994062,1.023968,22,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,186,187,276.229524,39.995514,1.489954,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 7, ""e0606b55"": 2, ""d1f37ed1"": 2}"
controlled,e0606b55,238,239,278.051583,39.999633,1.309618,30,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 4, ""06e9e5b9"": 7}"
controlled,d1f37ed1,234,235,273.811174,39.991095,1.687796,26,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,234,235,267.152877,39.998839,1.572918,26,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,e0606b55,286,287,293.900541,40.000951,0.923464,34,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,282,283,273.692133,40.009227,0.56225,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,06e9e5b9,282,283,271.839378,40.008841,0.970323,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,e0606b55,334,335,269.368335,39.999402,1.175338,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,d1f37ed1,330,331,271.47946,39.995959,1.930626,23,"{""c7e22c1f"": 6, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
