camera,metric,n,mean,p95,p99,maximum
c7e22c1f,tracker_gap_ms,2113,40.24634348793185,63.526382,120.432538,151.242987
b1269e28,tracker_gap_ms,1702,49.98813005875441,90.858439,158.730295,237.185567
1ac2ffac,tracker_gap_ms,2126,40.00411951693321,53.820487,119.31471,179.072521
e0606b55,tracker_gap_ms,2011,42.29100298607658,61.570365,276.990568,295.42549
d1f37ed1,tracker_gap_ms,2034,41.834685881022615,60.375059,276.41213,297.386028
06e9e5b9,tracker_gap_ms,2028,41.93497375542406,60.73644,279.743875,299.395574
Cam 4,duration_ms,2512,0.08546974391314634,0.2999999523162842,0.3999999761581421,0.6000000238418579
Cam Dahua Ch2 Fixed,duration_ms,3226,0.012585244744886764,0.10000002384185791,0.10000002384185791,0.6000000238418579
Cam góc rộng toàn sân,duration_ms,3210,0.038598131836389084,0.19999992847442627,0.20000004768371582,0.7000000476837158
Cam hik 1,duration_ms,2864,0.02775837968015138,0.10000002384185791,0.20000004768371582,0.5
Cam hướng ra cửa,duration_ms,2740,0.08642335842995748,0.20000004768371582,0.30000007152557373,0.6000000238418579
Cam mới,duration_ms,3890,0.033367609334175874,0.10000002384185791,0.20000004768371582,0.5
Cam trong khu làm việc,duration_ms,2264,0.04505300200659479,0.19999992847442627,0.3999999761581421,0.6000000238418579
Cam 4,gap_ms,1,166.59999999999127,166.59999999999127,166.59999999999127,166.59999999999127
Cam Dahua Ch2 Fixed,gap_ms,33,149.4939393939386,166.79999999999927,233.29999999998836,233.29999999998836
Cam mới,gap_ms,1,133.1999999999971,133.1999999999971,133.1999999999971,133.1999999999971
Cam trong khu làm việc,gap_ms,32,189.58125000000155,266.59999999999127,266.59999999999854,266.59999999999854
06e9e5b9,decoded_fps,80,25.004625744908864,25.6952081583058,26.59403836840265,26.59403836840265
1ac2ffac,decoded_fps,80,25.0033053639826,25.731490390075052,27.653880894063704,27.653880894063704
b1269e28,decoded_fps,80,19.99907384310819,20.749776740160282,21.729940763050998,21.729940763050998
b5e8f409,decoded_fps,80,20.018647543839947,21.584519086222144,22.613511025550856,22.613511025550856
c7e22c1f,decoded_fps,80,25.00533885005082,25.731490390075052,26.592861728757235,26.592861728757235
d1f37ed1,decoded_fps,80,25.003717255746828,25.675236764398267,26.60276409723749,26.60276409723749
e0606b55,decoded_fps,80,25.00494410004354,25.683706657418576,26.592657106403813,26.592657106403813
06e9e5b9,jitter_buffer_ms,80,22.120227258368946,23.659192307692276,24.118880000000043,24.118880000000043
1ac2ffac,jitter_buffer_ms,80,23.390289592517387,26.11452,27.70669230769229,27.70669230769229
b1269e28,jitter_buffer_ms,80,84.44668663605034,89.31089473684264,93.11520000000009,93.11520000000009
b5e8f409,jitter_buffer_ms,80,38.73198051895425,47.350099999999884,51.55774999999992,51.55774999999992
c7e22c1f,jitter_buffer_ms,80,20.54794325338319,21.897760000000236,22.658461538461587,22.658461538461587
d1f37ed1,jitter_buffer_ms,80,22.302284777243592,24.179480000000027,24.378680000000017,24.378680000000017
e0606b55,jitter_buffer_ms,80,22.099415880519942,23.382239999999964,23.59096153846133,23.59096153846133
