camera,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
06e9e5b9,ipc_out_ms,2187,0.3971,0.3567,0.725,1.3238,2.1953
06e9e5b9,parent_queue_ms,2187,2.8378,2.8721,4.9613,5.9437,8.2201
06e9e5b9,emit_client_ms,2187,6.0396,5.8931,9.6226,11.1308,16.3
06e9e5b9,publish_client_ms,2187,2.8047,2.6175,4.6247,6.0756,12.7207
06e9e5b9,packet_gap_ms,2186,44.1656,39.8759,62.7498,280.7424,298.4197
1ac2ffac,ipc_out_ms,2358,0.1945,0.1426,0.4882,1.4378,2.9245
1ac2ffac,parent_queue_ms,2358,2.9726,2.9939,5.7667,6.5848,8.4829
1ac2ffac,emit_client_ms,2358,4.2749,4.1758,8.1548,9.8898,18.5192
1ac2ffac,publish_client_ms,2358,1.1077,0.7558,2.7091,4.0407,16.43
1ac2ffac,packet_gap_ms,2357,41.0472,39.632,56.493,119.1075,183.2111
b1269e28,ipc_out_ms,1896,0.8398,0.7745,1.4374,2.0406,17.6945
b1269e28,parent_queue_ms,1896,2.6637,2.6958,4.8178,5.476,6.9293
b1269e28,emit_client_ms,1896,7.6193,7.5697,10.856,12.4926,20.0435
b1269e28,publish_client_ms,1896,4.1157,3.9214,5.7687,7.2655,13.5871
b1269e28,packet_gap_ms,1895,51.0577,43.9426,92.3132,157.9562,238.0658
c7e22c1f,ipc_out_ms,2314,0.3542,0.3041,0.7089,1.5058,3.1128
c7e22c1f,parent_queue_ms,2314,2.844,2.854,5.0255,6.1063,8.8982
c7e22c1f,emit_client_ms,2314,5.1268,4.9692,9.0997,11.0981,14.4799
c7e22c1f,publish_client_ms,2314,1.9286,1.5475,3.9443,5.7309,11.8723
c7e22c1f,packet_gap_ms,2313,42.0558,40.3675,66.6127,124.5675,375.9769
d1f37ed1,ipc_out_ms,2186,0.2636,0.1871,0.7034,1.6467,4.2599
d1f37ed1,parent_queue_ms,2186,3.0525,3.1326,5.0665,5.8645,8.2078
d1f37ed1,emit_client_ms,2186,5.3933,5.3364,9.11,11.0349,16.726
d1f37ed1,publish_client_ms,2186,2.0771,1.9451,4.1237,5.4687,10.8366
d1f37ed1,packet_gap_ms,2185,44.1912,40.0508,63.4136,277.7366,303.013
e0606b55,ipc_out_ms,2168,0.3717,0.2905,0.9444,1.7514,3.2253
e0606b55,parent_queue_ms,2168,3.0704,3.1186,5.2904,6.3621,9.1174
e0606b55,emit_client_ms,2168,5.5743,5.4545,9.4047,11.2529,17.4803
e0606b55,publish_client_ms,2168,2.1322,1.7988,4.2083,5.5796,12.9523
e0606b55,packet_gap_ms,2167,44.5985,40.0775,64.8407,277.3615,297.0509
