kind,camera,camera_name,tracker_objects,targets,decoder_objects,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,copy_wall_ms,10,0.2578,0.2401,0.3758,0.3758,0.3758
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,decoder_cuda_ms,10,48.2835,44.7088,67.2512,67.2512,67.2512
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,encoder_cuda_ms,10,8.1859,7.2595,13.2129,13.2129,13.2129
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,identity_verify_cuda_ms,10,4.0515,4.0183,5.5512,5.5512,5.5512
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,memory_encode_cuda_ms,10,10.5268,10.2458,14.6252,14.6252,14.6252
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,polygon_postprocess_host_ms,10,3.6275,3.4759,5.3072,5.3072,5.3072
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,queue_wait_ms,10,37.8699,27.0831,128.3627,128.3627,128.3627
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,segment_wall_ms,10,82.349,80.657,111.062,111.062,111.062
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,t0_t1_ms,10,38.4477,27.6782,128.8981,128.8981,128.8981
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,t1_t2_last_ms,10,73.7141,70.1475,97.8431,97.8431,97.8431
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,3,tracker_to_rgba_ms,10,0.1917,0.1806,0.3255,0.3255,0.3255
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,4,copy_wall_ms,10,0.4665,0.3316,0.902,0.902,0.902
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,4,decoder_cuda_ms,10,60.2008,57.6798,72.8258,72.8258,72.8258
frame,06e9e5b9,Cam góc rộng toàn sân,2,5,4,encoder_cuda_ms,10,10.3986,8.8733,16.8521,16.8521,16.8521
