camera,metric,n,mean,p95,p99,maximum
e0606b55,t0_t1_ms,756,29.189965437830686,83.901607,156.470695,212.878421
e0606b55,t1_t2_ms,756,36.80004291137566,68.175126,79.43837,174.293965
e0606b55,t2_t3_ms,756,42.209998215608465,146.225301,212.633258,245.853148
e0606b55,t0_t3_ms,756,108.20000656481481,281.488481,289.313447,295.597736
c7e22c1f,t0_t1_ms,1061,26.28771618284637,62.669487,95.301266,117.363253
c7e22c1f,t1_t2_ms,1061,32.5311523459001,56.951792,69.498899,142.551301
c7e22c1f,t2_t3_ms,1061,33.13288761168709,60.271433,117.277069,244.805726
c7e22c1f,t0_t3_ms,1061,91.95175614043356,151.695071,192.969609,320.890283
b1269e28,t0_t1_ms,3503,31.61124282986012,77.709547,121.725524,192.370499
b1269e28,t1_t2_ms,3503,57.257961669140734,106.615328,127.503706,287.339829
b1269e28,t2_t3_ms,3503,39.84812656751356,84.032982,116.575463,224.845187
b1269e28,t0_t3_ms,3503,128.71733106651442,203.118973,263.951667,366.572523
d1f37ed1,t0_t1_ms,377,28.499743806366048,91.354026,181.929663,246.623969
d1f37ed1,t1_t2_ms,377,24.79141074801061,35.805148,42.329208,45.719379
d1f37ed1,t2_t3_ms,377,43.8166229867374,164.044265,238.959364,257.502401
d1f37ed1,t0_t3_ms,377,97.10777754111406,279.434765,291.613751,320.814623
06e9e5b9,t0_t1_ms,2250,28.122842283555556,83.694772,141.071708,227.259416
06e9e5b9,t1_t2_ms,2250,46.578617764,84.084137,101.37593,191.354715
06e9e5b9,t2_t3_ms,2250,41.0140998,138.313179,212.891318,262.962304
06e9e5b9,t0_t3_ms,2250,115.71555984755555,280.230505,288.986312,368.32592
