pid,camera,camera_name,frame,epoch_ms,tracker_objects,warmup,t0_ns,submitted,replaced,dropped_stale,rgba_ns,targets,label_prompts,worker,decoder_objects,masks,tracker_to_rgba_ms,copy_start_ns,copy_end_ns,enqueued_ns,t1_ns,copy_wall_ms,queue_wait_ms,t0_t1_ms,segment_start_ns,segment_end_ns,segment_wall_ms,encoder_host_ms,encoder_cuda_ms,decoder_host_ms,decoder_cuda_ms,memory_encode_host_ms,memory_encode_cuda_ms,descriptor_host_ms,descriptor_cuda_ms,identity_verify_host_ms,identity_verify_cuda_ms,binary_postprocess_host_ms,binary_postprocess_cuda_ms,reference_encode_host_ms,reference_encode_cuda_ms,polygon_postprocess_host_ms,t2_last_ns,t1_t2_last_ms
1545,e0606b55,Cam hướng ra cửa,0,1790073012557.656,0,True,638649570735731,False,False,False,638649572781421,,,,,,2.04569,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,e0606b55,Cam hướng ra cửa,1,1790073012560.084,0,True,638649573164034,False,False,False,638649573547871,,,,,,0.383837,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,e0606b55,Cam hướng ra cửa,2,1790073012560.688,3,True,638649573767800,False,False,False,638649574010903,,,,,,0.243103,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,e0606b55,Cam hướng ra cửa,3,1790073012561.503,3,True,638649574583261,True,False,True,638649574751844,,,,,,0.168583,638649941355505,638649962495553,638649962520657,638649962789301,21.140048,0.268644,388.20604,,,,,,,,,,,,,,,,,,,,
1545,e0606b55,Cam hướng ra cửa,4,1790073012954.835,3,True,638649967915613,False,False,False,638649968212952,,,,,,0.297339,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,c7e22c1f,Cam mới,0,1790073012959.146,0,True,638649972226559,False,False,False,638649972404729,,,,,,0.17817,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,c7e22c1f,Cam mới,1,1790073012990.459,0,True,638650003539574,False,False,False,638650003761377,,,,,,0.221803,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,e0606b55,Cam hướng ra cửa,5,1790073012991.547,3,True,638650004627539,True,False,False,638650004767641,3,0,0,3,1,0.140102,638650004933100,638650005501313,638650005514724,638650005679643,0.568213,0.164919,1.052104,638650005731930,638650666508247,660.776317,253.668885,259.25676822662354,102.838838,103.00377655029297,14.756008999999999,14.786751747131348,4.882993,5.1063361167907715,35.546411,35.1590411067009,3.82125,3.8317118883132935,246.04714099999998,246.22768115997314,1.372478,638650414712766,409.033123
1545,c7e22c1f,Cam mới,2,1790073013040.057,3,True,638650053137461,False,False,False,638650054274070,,,,,,1.136609,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,e0606b55,Cam hướng ra cửa,6,1790073013041.577,3,True,638650054657565,True,True,False,638650055091064,,,,,,0.433499,638650055199867,638650055525507,638650055533553,,0.32564,,,,,,,,,,,,,,,,,,,,,,
