epoch_ms,power_w,temperature_c,sm_percent,mem_percent,decode_percent,vram_mb,phase
1790073025000.0,116.0,57.0,74.0,29.0,4.0,3533.0,live
1790073026000.0,116.0,59.0,68.0,28.0,5.0,3533.0,live
1790073027000.0,119.0,61.0,79.0,35.0,5.0,3525.0,live
1790073028000.0,116.0,61.0,75.0,29.0,5.0,3559.0,live
1790073029000.0,117.0,62.0,71.0,29.0,5.0,3563.0,live
1790073030000.0,122.0,62.0,73.0,31.0,5.0,3617.0,live
1790073031000.0,124.0,62.0,77.0,29.0,5.0,3667.0,live
1790073032000.0,106.0,61.0,73.0,25.0,5.0,3669.0,live
1790073033000.0,109.0,60.0,72.0,27.0,5.0,3717.0,live
1790073034000.0,113.0,61.0,59.0,21.0,5.0,3772.0,live
1790073035000.0,115.0,60.0,68.0,28.0,5.0,3766.0,live
1790073036000.0,108.0,60.0,65.0,26.0,5.0,3774.0,live
1790073038000.0,106.0,59.0,72.0,29.0,5.0,3964.0,build
1790073039000.0,113.0,60.0,80.0,27.0,5.0,4031.0,build
1790073040000.0,112.0,59.0,85.0,29.0,4.0,4120.0,build
1790073041000.0,107.0,59.0,88.0,27.0,5.0,4162.0,build
1790073042000.0,109.0,60.0,79.0,28.0,5.0,4230.0,build
1790073043000.0,111.0,59.0,38.0,14.0,5.0,4286.0,build
1790073044000.0,105.0,59.0,73.0,26.0,5.0,4334.0,build
1790073045000.0,103.0,62.0,84.0,30.0,4.0,4392.0,build
1790073046000.0,112.0,63.0,88.0,32.0,4.0,4400.0,build
1790073047000.0,119.0,59.0,79.0,35.0,4.0,4478.0,build
1790073048000.0,117.0,62.0,66.0,27.0,5.0,4484.0,build
1790073049000.0,106.0,62.0,65.0,26.0,5.0,4488.0,build
1790073050000.0,108.0,62.0,73.0,30.0,5.0,4488.0,build
1790073051000.0,117.0,62.0,77.0,31.0,5.0,4488.0,build
1790073052000.0,109.0,63.0,75.0,27.0,5.0,4488.0,build
1790073053000.0,114.0,64.0,70.0,29.0,5.0,4488.0,build
1790073054000.0,107.0,60.0,29.0,11.0,4.0,4488.0,build
1790073055000.0,107.0,63.0,67.0,28.0,5.0,4488.0,build
1790073056000.0,109.0,62.0,76.0,30.0,5.0,4488.0,build
1790073057000.0,116.0,65.0,85.0,30.0,7.0,4488.0,build
1790073058000.0,113.0,63.0,69.0,26.0,5.0,4488.0,build
1790073060000.0,115.0,63.0,76.0,29.0,7.0,4488.0,build
1790073061000.0,111.0,65.0,75.0,30.0,5.0,4488.0,build
1790073062000.0,114.0,60.0,79.0,34.0,5.0,4488.0,build
