phase,metric,n,mean,p95,p99,maximum
build,power_w,117,111.35897435897436,122.0,125.0,126.0
build,temperature_c,117,62.52136752136752,65.0,66.0,66.0
build,sm_percent,117,80.01709401709402,97.0,98.0,99.0
build,mem_percent,117,28.692307692307693,35.0,35.0,37.0
build,decode_percent,117,5.170940170940171,7.0,7.0,7.0
build,vram_mb,117,4508.051282051282,4599.0,4599.0,4599.0
live,power_w,12,115.08333333333333,124.0,124.0,124.0
live,temperature_c,12,60.5,62.0,62.0,62.0
live,sm_percent,12,71.16666666666667,79.0,79.0,79.0
live,mem_percent,12,28.083333333333332,35.0,35.0,35.0
live,decode_percent,12,4.916666666666667,5.0,5.0,5.0
live,vram_mb,12,3641.25,3774.0,3774.0,3774.0
