camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
e0606b55,1,1790073012562,638649575639191,,,,,0.185405,0.431695,1.964122,1.347022,
e0606b55,2,1790073012567,638649580255543,,,,,0.138969,4.95299,5.750201,0.658242,4.616352
e0606b55,4,1790073012958,638649971188246,,,,,0.275597,1.760756,2.710558,0.674205,390.932703
c7e22c1f,0,1790073012963,638649976349762,,,,,0.125898,3.106822,3.827759,0.595039,
c7e22c1f,1,1790073012994,638650007219607,,,,,0.144532,2.309908,3.327225,0.872785,30.869845
e0606b55,5,1790073012994,638650007348035,,,,,0.103662,0.474284,1.491623,0.913677,36.159789
c7e22c1f,2,1790073013045,638650058361232,,,,,0.295094,2.452094,3.816495,1.069307,51.141625
e0606b55,6,1790073013045,638650058501374,,,,,0.097,1.729558,2.823646,0.997088,51.153339
c7e22c1f,3,1790073013075,638650088946392,,,,,0.449387,0.86556,2.223884,0.908937,30.58516
e0606b55,7,1790073013080,638650093841111,,,,,0.213471,2.02395,2.73072,0.493299,35.339737
c7e22c1f,4,1790073013116,638650129948993,,,,,0.263457,2.184884,3.22772,0.779379,41.002601
e0606b55,8,1790073013121,638650134865745,,,,,0.176468,3.326932,3.942956,0.439556,41.024634
e0606b55,9,1790073013153,638650166121343,,,,,0.177196,2.854999,4.091181,1.058986,31.255598
c7e22c1f,5,1790073013153,638650166206070,,,,,0.119497,0.696348,1.810428,0.994583,36.257077
c7e22c1f,6,1790073013193,638650206808312,,,,,0.186778,1.781209,2.89119,0.923203,40.602242
e0606b55,10,1790073013198,638650211517787,,,,,0.144675,0.276436,0.856481,0.43537,45.396444
c7e22c1f,7,1790073013234,638650247423437,,,,,0.204703,2.470516,3.347449,0.67223,40.615125
e0606b55,11,1790073013245,638650258083775,,,,,0.118581,3.965955,5.027417,0.942881,46.565988
c7e22c1f,8,1790073013265,638650278232035,,,,,0.207543,1.605371,2.422616,0.609702,30.808598
e0606b55,12,1790073013275,638650288708152,,,,,0.107028,4.244618,5.152794,0.801148,30.624377
e0606b55,13,1790073013316,638650329871265,,,,,0.21591,3.888452,5.107889,1.003527,41.163113
c7e22c1f,9,1790073013317,638650330110110,,,,,0.119832,2.191672,3.437026,1.125522,51.878075
