camera,source_frame,output_frame,object_id,total_ms,cache_attach_ms,next_tracker_ms,tracker_frames_before_attach,epoch_ms
e0606b55,305,306,116454320966922,295.597736,190.036385,189.452001,1,1790073025672.007
06e9e5b9,277,278,138493342419992,274.410781,243.88119,243.341935,1,1790073025752.764
06e9e5b9,277,278,203145721272521,274.416006,221.840009,221.295529,1,1790073025752.764
06e9e5b9,277,278,105989861701223,274.41898,203.304111,202.756657,1,1790073025752.764
06e9e5b9,323,324,138493342419992,277.543384,200.669053,199.979864,1,1790073027756.575
06e9e5b9,323,324,203145721272521,277.549287,184.941347,184.246255,1,1790073027756.575
06e9e5b9,371,372,138493342419992,277.99144,195.154885,194.536605,1,1790073029756.374
06e9e5b9,371,372,203145721272521,277.996272,180.621054,179.997942,1,1790073029756.374
e0606b55,449,450,116454320966922,277.543185,237.394341,236.47188,1,1790073031669.242
e0606b55,495,496,116454320966922,286.825414,207.29253,206.604915,1,1790073033672.572
e0606b55,540,541,116454320966922,284.646991,181.595936,180.830691,1,1790073035668.175
e0606b55,681,682,116454320966922,274.949122,187.608818,186.99886,1,1790073041679.902
d1f37ed1,653,654,215686623484377,282.14592,202.633764,202.048964,1,1790073041747.278
d1f37ed1,745,746,215686623484377,279.434765,184.534088,183.737946,1,1790073045755.11
06e9e5b9,796,797,138493342419992,283.193334,232.385834,231.828606,1,1790073047753.785
06e9e5b9,796,797,203145721272521,283.198668,211.278788,210.716226,1,1790073047753.785
06e9e5b9,796,797,105989861701223,283.201606,193.263416,192.697916,1,1790073047753.785
06e9e5b9,841,842,138493342419992,278.341753,186.122683,185.150689,1,1790073049754.094
e0606b55,917,918,116454320966922,291.738717,222.347414,221.624468,1,1790073051664.149
d1f37ed1,886,887,215686623484377,288.717247,207.608555,206.842142,1,1790073051753.6
d1f37ed1,934,935,215686623484377,276.787853,224.42883,223.856382,1,1790073053750.098
06e9e5b9,936,937,138493342419992,273.334526,209.175497,208.642235,1,1790073053754.655
06e9e5b9,936,937,203145721272521,273.340234,187.380894,186.841924,1,1790073053754.655
c7e22c1f,1026,1029,165620421351559,320.890283,238.520647,237.802825,1,1790073054343.599
b1269e28,811,814,258791973882344,298.2942,214.321643,213.375258,1,1790073054364.848
06e9e5b9,1032,1033,138493342419992,279.008121,210.622496,209.818301,1,1790073057760.016
06e9e5b9,1032,1033,203145721272521,279.017102,192.138469,191.325293,1,1790073057760.016
