camera,metric,n,mean,p95,p99,maximum
e0606b55,tracker_gap_ms,3206,42.16056298128509,58.181127,281.097799,300.580987
c7e22c1f,tracker_gap_ms,3354,40.2994417358378,59.727205,119.682098,240.675648
b1269e28,tracker_gap_ms,2704,50.00130025147929,90.524648,133.18213,218.238603
1ac2ffac,tracker_gap_ms,3379,40.00114584374075,53.335588,114.27296,232.926739
d1f37ed1,tracker_gap_ms,3196,42.23850867021277,57.827962,279.032714,295.474159
06e9e5b9,tracker_gap_ms,3211,42.03369791591405,56.863555,279.447265,294.122518
Cam 4,duration_ms,4378,0.08499314731634497,0.2999999523162842,0.40000009536743164,0.7999999523162842
Cam Dahua Ch2 Fixed,duration_ms,5502,0.012522719071934935,0.10000002384185791,0.10000002384185791,0.7000000476837158
Cam góc rộng toàn sân,duration_ms,5254,0.050590027113763106,0.20000004768371582,0.2999999523162842,0.6000000238418579
Cam hik 1,duration_ms,4640,0.03372844768495395,0.10000002384185791,0.20000004768371582,0.6999999284744263
Cam hướng ra cửa,duration_ms,4090,0.09410757861102415,0.2999999523162842,0.3999999761581421,0.6000000238418579
Cam mới,duration_ms,6504,0.03899139028413709,0.10000002384185791,0.20000004768371582,0.40000009536743164
Cam trong khu làm việc,duration_ms,2780,0.036762589773685815,0.10000002384185791,0.2999999523162842,0.7000000476837158
Cam 4,gap_ms,7,342.8428571428568,1049.8999999999978,1049.8999999999978,1049.8999999999978
Cam Dahua Ch2 Fixed,gap_ms,40,170.40250000000015,366.6999999999971,1033.2999999999956,1033.2999999999956
Cam góc rộng toàn sân,gap_ms,3,527.7666666666652,1033.2999999999956,1033.2999999999956,1033.2999999999956
Cam hik 1,gap_ms,3,527.7666666666652,1033.2999999999956,1033.2999999999956,1033.2999999999956
Cam hướng ra cửa,gap_ms,3,522.1999999999983,1049.8999999999978,1049.8999999999978,1049.8999999999978
Cam mới,gap_ms,4,429.14999999999964,1033.2999999999956,1033.2999999999956,1033.2999999999956
Cam trong khu làm việc,gap_ms,57,235.07368421052587,383.3000000000029,1049.8999999999978,1049.8999999999978
06e9e5b9,decoded_fps,132,24.995894160136636,25.694693593143384,25.83596433387045,25.875411410197287
1ac2ffac,decoded_fps,132,25.00245702252938,25.70818448982666,26.574126270351943,26.6590813763445
b1269e28,decoded_fps,132,20.002468064213847,20.723216550818933,20.74816008907506,20.754147463603154
b5e8f409,decoded_fps,132,20.009345389422478,20.759051072729562,22.644101724435068,22.649518606369888
c7e22c1f,decoded_fps,132,25.003045291418978,25.71243007284255,26.000184083334574,26.001269593241858
d1f37ed1,decoded_fps,132,24.995968096939965,25.695201958602873,25.86670688908498,25.906455936693433
e0606b55,decoded_fps,132,24.995735812095706,25.685534063312275,25.8008184375455,25.839355666007112
06e9e5b9,jitter_buffer_ms,132,21.660021816886815,22.739400000000387,23.471800000000083,23.704799999999864
1ac2ffac,jitter_buffer_ms,132,22.200438835685915,26.018720000000002,26.942879999999718,26.996458333333234
b1269e28,jitter_buffer_ms,132,86.89029615800867,94.61605000000048,97.56445000000014,97.91194999999959
b5e8f409,jitter_buffer_ms,132,36.69487459741225,42.19159999999995,46.14014999999991,47.657095238095266
c7e22c1f,jitter_buffer_ms,132,20.060805717430718,21.35053846153845,21.47612000000009,21.74330769230765
d1f37ed1,jitter_buffer_ms,132,21.69229978589312,23.54528000000016,23.81834615384603,24.294346153846156
e0606b55,jitter_buffer_ms,132,21.824380751100747,23.017959999999675,23.375040000000027,23.63076923076936
