camera,frame,previous_frame,epoch_ms,tracker_gap_ms
e0606b55,280,279,1790073024831.747,37.866645
e0606b55,281,280,1790073024869.511,37.76413
e0606b55,282,281,1790073024911.761,42.24963
e0606b55,283,282,1790073024953.062,41.301161
e0606b55,284,283,1790073025007.86,54.797218
e0606b55,285,284,1790073025040.398,32.538753
e0606b55,286,285,1790073025067.276,26.877767
e0606b55,287,286,1790073025116.107,48.831148
e0606b55,288,287,1790073025154.409,38.301746
e0606b55,289,288,1790073025192.497,38.087536
e0606b55,290,289,1790073025232.269,39.77257
e0606b55,291,290,1790073025271.294,39.02519
e0606b55,292,291,1790073025316.517,45.223027
e0606b55,293,292,1790073025355.376,38.858983
e0606b55,294,293,1790073025399.216,43.839736
e0606b55,295,294,1790073025434.891,35.675446
e0606b55,296,295,1790073025467.46,32.56853
e0606b55,297,296,1790073025515.467,48.006558
e0606b55,298,297,1790073025556.612,41.145034
e0606b55,299,298,1790073025595.452,38.840771
e0606b55,300,299,1790073025596.971,1.519018
e0606b55,301,300,1790073025598.384,1.412908
e0606b55,302,301,1790073025599.581,1.196886
e0606b55,303,302,1790073025600.701,1.119837
e0606b55,304,303,1790073025601.859,1.158181
e0606b55,305,304,1790073025672.007,70.14811
e0606b55,306,305,1790073025967.021,295.013352
e0606b55,307,306,1790073025989.247,22.226438
e0606b55,308,307,1790073026029.209,39.962194
e0606b55,309,308,1790073026069.604,40.394349
e0606b55,310,309,1790073026110.29,40.685916
e0606b55,311,310,1790073026150.941,40.651845
e0606b55,312,311,1790073026191.08,40.13827
e0606b55,313,312,1790073026232.132,41.05261
e0606b55,314,313,1790073026286.781,54.648622
e0606b55,315,314,1790073026304.632,17.851486
e0606b55,316,315,1790073026355.3,50.667112
e0606b55,317,316,1790073026394.989,39.689238
e0606b55,318,317,1790073026425.617,30.62872
e0606b55,319,318,1790073026477.007,51.389201
e0606b55,320,319,1790073026518.034,41.027257
e0606b55,321,320,1790073026549.797,31.763491
e0606b55,322,321,1790073026591.482,41.684726
e0606b55,323,322,1790073026633.802,42.319335
e0606b55,324,323,1790073026675.025,41.223658
e0606b55,325,324,1790073026720.831,45.806161
e0606b55,326,325,1790073026749.023,28.192288
e0606b55,327,326,1790073026790.364,41.340458
e0606b55,328,327,1790073026835.562,45.197411
e0606b55,329,328,1790073026873.354,37.792804
e0606b55,330,329,1790073026912.601,39.246868
e0606b55,331,330,1790073026977.039,64.438016
e0606b55,332,331,1790073026994.536,17.496453
e0606b55,333,332,1790073027040.536,46.000794
e0606b55,334,333,1790073027070.838,30.301362
e0606b55,335,334,1790073027115.512,44.674008
e0606b55,336,335,1790073027156.393,40.881595
e0606b55,337,336,1790073027190.254,33.860997
e0606b55,338,337,1790073027231.235,40.980307
e0606b55,339,338,1790073027277.752,46.517062
e0606b55,340,339,1790073027314.625,36.873787
e0606b55,341,340,1790073027352.522,37.896702
e0606b55,342,341,1790073027396.677,44.15433
e0606b55,343,342,1790073027439.144,42.46757
e0606b55,344,343,1790073027475.027,35.882977
e0606b55,345,344,1790073027515.556,40.529394
e0606b55,346,345,1790073027548.407,32.850917
e0606b55,347,346,1790073027594.177,45.770108
e0606b55,348,347,1790073027595.327,1.149768
e0606b55,349,348,1790073027597.126,1.799075
e0606b55,350,349,1790073027598.703,1.576435
e0606b55,351,350,1790073027606.06,7.357597
e0606b55,352,351,1790073027610.772,4.711503
e0606b55,353,352,1790073027675.857,65.085569
e0606b55,354,353,1790073027962.186,286.328059
e0606b55,355,354,1790073027992.481,30.295275
e0606b55,356,355,1790073028036.156,43.674874
e0606b55,357,356,1790073028079.092,42.935964
e0606b55,358,357,1790073028110.363,31.270902
e0606b55,359,358,1790073028161.115,50.75249
e0606b55,360,359,1790073028192.713,31.597607
e0606b55,361,360,1790073028233.097,40.384867
e0606b55,362,361,1790073028275.293,42.195492
e0606b55,363,362,1790073028315.532,40.239009
e0606b55,364,363,1790073028349.466,33.933969
e0606b55,365,364,1790073028388.795,39.329484
e0606b55,366,365,1790073028429.775,40.979485
e0606b55,367,366,1790073028474.073,44.298155
e0606b55,368,367,1790073028521.455,47.381968
e0606b55,369,368,1790073028550.572,29.116734
e0606b55,370,369,1790073028597.572,47.00038
e0606b55,371,370,1790073028645.242,47.670093
e0606b55,372,371,1790073028665.54,20.297491
e0606b55,373,372,1790073028724.371,58.831594
e0606b55,374,373,1790073028759.623,35.251698
e0606b55,375,374,1790073028789.88,30.256554
e0606b55,376,375,1790073028829.843,39.963658
e0606b55,377,376,1790073028874.254,44.410496
e0606b55,378,377,1790073028911.406,37.151858
e0606b55,379,378,1790073028969.376,57.970183
e0606b55,380,379,1790073028997.454,28.078043
e0606b55,381,380,1790073029043.018,45.564062
e0606b55,382,381,1790073029067.716,24.698403
e0606b55,383,382,1790073029118.985,51.268981
e0606b55,384,383,1790073029151.676,32.690306
e0606b55,385,384,1790073029190.222,38.546683
e0606b55,386,385,1790073029230.449,40.227098
e0606b55,387,386,1790073029269.597,39.148142
e0606b55,388,387,1790073029318.76,49.161993
e0606b55,389,388,1790073029361.412,42.652559
e0606b55,390,389,1790073029395.558,34.14606
e0606b55,391,390,1790073029425.817,30.258703
e0606b55,392,391,1790073029475.034,49.217547
e0606b55,393,392,1790073029515.632,40.597593
e0606b55,394,393,1790073029569.76,54.127523
e0606b55,395,394,1790073029593.809,24.049458
e0606b55,396,395,1790073029594.745,0.9357
e0606b55,397,396,1790073029595.87,1.125287
e0606b55,398,397,1790073029598.755,2.885168
e0606b55,399,398,1790073029602.1,3.344677
e0606b55,400,399,1790073029603.356,1.256759
e0606b55,401,400,1790073029680.42,77.063134
e0606b55,402,401,1790073029945.47,265.050071
e0606b55,403,402,1790073029996.422,50.952727
e0606b55,404,403,1790073030037.718,41.295146
e0606b55,405,404,1790073030068.884,31.16682
e0606b55,406,405,1790073030112.942,44.057674
e0606b55,407,406,1790073030154.802,41.85974
e0606b55,408,407,1790073030201.869,47.067494
e0606b55,409,408,1790073030235.599,33.729755
e0606b55,410,409,1790073030280.214,44.614779
e0606b55,411,410,1790073030314.23,34.016301
e0606b55,412,411,1790073030367.205,52.975128
e0606b55,413,412,1790073030388.736,21.530806
e0606b55,414,413,1790073030439.219,50.482637
e0606b55,415,414,1790073030470.941,31.722015
