camera,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
06e9e5b9,ipc_out_ms,3235,0.432,0.3649,0.8484,1.6649,13.4398
06e9e5b9,parent_queue_ms,3235,2.9117,2.9146,4.9791,6.0864,28.6968
06e9e5b9,emit_client_ms,3235,6.9367,6.7382,10.4955,13.8347,115.9797
06e9e5b9,publish_client_ms,3235,3.5929,3.3046,5.6393,9.053,108.6997
06e9e5b9,packet_gap_ms,3234,45.2066,40.361,59.1981,281.6247,1168.1401
1ac2ffac,ipc_out_ms,3569,0.2219,0.1479,0.3956,1.2622,96.0425
1ac2ffac,parent_queue_ms,3569,2.8712,2.8537,5.1908,6.515,38.5862
1ac2ffac,emit_client_ms,3569,4.522,4.1395,8.5355,12.0319,168.3651
1ac2ffac,publish_client_ms,3569,1.4288,0.8443,3.5307,6.1735,109.0173
1ac2ffac,packet_gap_ms,3568,41.0276,39.7717,55.9456,116.2025,1145.8775
b1269e28,ipc_out_ms,2880,0.8169,0.7069,1.5748,2.6474,13.844
b1269e28,parent_queue_ms,2880,2.8361,2.9072,4.8936,6.08,13.0232
b1269e28,emit_client_ms,2880,8.2387,7.922,11.7927,14.958,193.1013
b1269e28,publish_client_ms,2880,4.5857,4.2122,6.2538,9.3174,179.5719
b1269e28,packet_gap_ms,2879,50.8501,42.7048,91.2568,134.7196,1154.3155
c7e22c1f,ipc_out_ms,3489,0.4421,0.3412,0.7891,1.8477,106.5684
c7e22c1f,parent_queue_ms,3489,2.8704,2.8375,5.0054,6.5665,31.9436
c7e22c1f,emit_client_ms,3489,5.737,5.3201,9.9837,13.4865,166.5944
c7e22c1f,publish_client_ms,3489,2.4244,1.8649,4.9508,8.1418,109.0561
c7e22c1f,packet_gap_ms,3488,42.221,40.8397,62.9243,120.11,1133.5477
d1f37ed1,ipc_out_ms,3236,0.347,0.2213,1.2844,2.2541,18.7026
d1f37ed1,parent_queue_ms,3236,3.2645,3.3054,5.5996,6.997,30.1126
d1f37ed1,emit_client_ms,3236,6.4108,6.2781,10.6867,13.7855,115.8277
d1f37ed1,publish_client_ms,3236,2.7993,2.4788,5.2745,8.8901,107.5787
d1f37ed1,packet_gap_ms,3235,45.1941,40.3502,60.799,279.7857,1139.1937
e0606b55,ipc_out_ms,3239,0.4706,0.3101,1.2454,2.2712,131.3558
e0606b55,parent_queue_ms,3239,3.2677,3.4025,5.509,6.7964,21.2785
e0606b55,emit_client_ms,3239,6.388,6.1534,10.4718,13.6185,165.5827
e0606b55,publish_client_ms,3239,2.6497,2.1944,5.0801,8.4506,108.8161
e0606b55,packet_gap_ms,3238,45.6079,40.3361,62.1613,281.9707,1122.2298
