phase,camera,metric,n,mean,p95,p99,maximum
before_5s,e0606b55,t0_t1_ms,54,22.65057738888889,55.037837,66.527534,66.527534
before_5s,e0606b55,t1_t2_ms,54,28.367887074074073,50.813652,61.373312,61.373312
before_5s,e0606b55,t2_t3_ms,29,51.920192655172414,212.633258,245.853148,245.853148
before_5s,e0606b55,t0_t3_ms,29,108.53916310344827,284.646991,286.825414,286.825414
before_5s,e0606b55,decoder_cuda_ms,54,11.959041736744068,21.864992141723633,23.139423370361328,23.139423370361328
before_5s,c7e22c1f,t0_t1_ms,83,24.986362554216868,58.293712,64.626992,64.626992
before_5s,c7e22c1f,t1_t2_ms,83,35.48375460240964,63.366062,69.498899,69.498899
before_5s,c7e22c1f,t2_t3_ms,68,31.144090911764707,59.056058,128.836474,128.836474
before_5s,c7e22c1f,t0_t3_ms,68,95.81951070588235,151.383331,192.978686,192.978686
before_5s,c7e22c1f,decoder_cuda_ms,83,13.558322986924505,21.440160751342773,25.559040069580078,25.559040069580078
before_5s,b1269e28,t0_t1_ms,172,31.617540906976743,92.981757,105.157616,105.157616
before_5s,b1269e28,t1_t2_ms,172,66.20416569186047,123.515005,143.958947,154.504457
before_5s,b1269e28,t2_t3_ms,140,39.92694872142857,84.296513,116.575463,139.76248
before_5s,b1269e28,t0_t3_ms,140,128.43056705,197.44384,217.287191,249.219238
before_5s,b1269e28,decoder_cuda_ms,172,13.52722379773162,23.497568130493164,26.745664596557617,30.812511444091797
before_5s,1ac2ffac,t0_t1_ms,13,44.75299676923077,240.616384,240.616384,240.616384
before_5s,1ac2ffac,t1_t2_ms,13,24.602817538461537,37.118339,37.118339,37.118339
before_5s,1ac2ffac,decoder_cuda_ms,13,13.477260222801796,25.608415603637695,25.608415603637695,25.608415603637695
before_5s,d1f37ed1,t0_t1_ms,17,28.011902882352942,89.937438,89.937438,89.937438
before_5s,d1f37ed1,t1_t2_ms,17,22.008364235294117,34.452878,34.452878,34.452878
before_5s,d1f37ed1,decoder_cuda_ms,17,12.565074892605052,21.6790714263916,21.6790714263916,21.6790714263916
before_5s,06e9e5b9,t0_t1_ms,106,31.611753273584906,92.697309,107.786413,107.786413
before_5s,06e9e5b9,t1_t2_ms,106,50.89546816981132,89.227788,101.011417,110.821463
before_5s,06e9e5b9,t2_t3_ms,90,40.25304684444444,136.631128,166.474642,166.474642
