epoch_ms,name,gap_ms,presented
1790073007706.8,Cam trong khu làm việc,266.5999999999999,47
1790073007873.5,Cam Dahua Ch2 Fixed,133.30000000000018,48
1790073009873.4001,Cam 4,133.30000000000018,81
1790073009906.8,Cam Dahua Ch2 Fixed,133.39999999999964,96
1790073010106.8,Cam trong khu làm việc,133.39999999999964,95
1790073011940,Cam Dahua Ch2 Fixed,166.69999999999982,144
1790073013906.6,Cam 4,133.29999999999927,161
1790073013906.6,Cam Dahua Ch2 Fixed,133.29999999999927,190
1790073015139.8,Cam trong khu làm việc,200,193
1790073017639.7002,Cam trong khu làm việc,199.89999999999964,241
1790073017906.4001,Cam Dahua Ch2 Fixed,133.29999999999927,287
1790073020106.3,Cam trong khu làm việc,133.3000000000011,288
1790073022606.2002,Cam trong khu làm việc,133.29999999999927,337
1790073025139.4001,Cam trong khu làm việc,166.59999999999854,385
1790073025906.1,Cam Dahua Ch2 Fixed,133.29999999999927,483
1790073027606,Cam trong khu làm việc,133.3000000000029,433
1790073027906,Cam Dahua Ch2 Fixed,133.3000000000029,531
1790073030139.2002,Cam trong khu làm việc,166.59999999999854,480
1790073031905.8,Cam Dahua Ch2 Fixed,133.29999999999927,627
1790073032639.1,Cam trong khu làm việc,166.59999999999854,527
1790073035139.1,Cam trong khu làm việc,166.70000000000073,574
1790073036922.3,Cam hướng ra cửa,1049.8999999999978,783
1790073036922.3,Cam hik 1,1033.2999999999956,780
1790073036922.3,Cam góc rộng toàn sân,1033.2999999999956,780
1790073036922.3,Cam 4,1049.8999999999978,621
1790073036922.3,Cam mới,1033.2999999999956,758
1790073036922.3,Cam trong khu làm việc,1049.8999999999978,609
1790073036922.3,Cam Dahua Ch2 Fixed,1033.2999999999956,751
1790073037305.6,Cam 4,383.3000000000029,628
1790073037305.6,Cam trong khu làm việc,383.3000000000029,617
1790073037305.6,Cam hướng ra cửa,383.3000000000029,793
1790073037305.6,Cam hik 1,383.3000000000029,790
1790073037305.6,Cam góc rộng toàn sân,383.3000000000029,790
1790073037305.6,Cam Dahua Ch2 Fixed,383.3000000000029,760
1790073037305.6,Cam mới,383.3000000000029,767
1790073037639,Cam trong khu làm việc,166.70000000000437,621
1790073037905.6,Cam Dahua Ch2 Fixed,133.3000000000029,773
1790073037939,Cam 4,133.40000000000146,639
1790073039905.5,Cam Dahua Ch2 Fixed,133.3000000000029,822
1790073040138.9001,Cam trong khu làm việc,233.40000000000146,668
1790073042638.7002,Cam trong khu làm việc,233.29999999999563,715
1790073043905.4001,Cam Dahua Ch2 Fixed,133.3000000000029,918
1790073045138.7002,Cam trong khu làm việc,233.29999999999563,762
1790073047605.2002,Cam trong khu làm việc,166.6999999999971,810
1790073050105.1,Cam trong khu làm việc,200,858
1790073051905,Cam Dahua Ch2 Fixed,133.3000000000029,1113
1790073052638.3,Cam trong khu làm việc,233.29999999999563,906
1790073053905,Cam 4,133.40000000000146,956
1790073053905,Cam Dahua Ch2 Fixed,133.40000000000146,1161
1790073055138.3,Cam trong khu làm việc,233.39999999999418,953
1790073057604.8,Cam trong khu làm việc,166.6999999999971,1001
1790073059904.7002,Cam Dahua Ch2 Fixed,133.29999999999563,1308
1790073060104.7002,Cam trong khu làm việc,200,1049
1790073062638,Cam trong khu làm việc,233.40000000000146,1097
1790073065137.9001,Cam trong khu làm việc,233.40000000000146,1143
1790073065904.5,Cam Dahua Ch2 Fixed,133.3000000000029,1453
1790073067637.7002,Cam trong khu làm việc,233.1999999999971,1190
1790073067904.4001,Cam Dahua Ch2 Fixed,133.3000000000029,1501
1790073070137.6,Cam trong khu làm việc,233.1999999999971,1237
1790073071904.3,Cam Dahua Ch2 Fixed,133.39999999999418,1598
1790073072604.2002,Cam trong khu làm việc,200,1285
1790073073904.2002,Cam Dahua Ch2 Fixed,133.40000000000873,1646
1790073075137.5,Cam trong khu làm việc,233.39999999999418,1332
1790073077604,Cam trong khu làm việc,199.89999999999418,1380
1790073077904,Cam Dahua Ch2 Fixed,133.29999999998836,1743
1790073079904,Cam Dahua Ch2 Fixed,133.39999999999418,1791
1790073080137.2002,Cam trong khu làm việc,233.20000000001164,1427
1790073081903.8,Cam Dahua Ch2 Fixed,133.3000000000029,1839
1790073082637.2002,Cam trong khu làm việc,233.40000000000873,1474
1790073083903.8,Cam Dahua Ch2 Fixed,133.39999999999418,1887
1790073085137,Cam trong khu làm việc,233.29999999998836,1521
1790073085937,Cam 4,166.59999999999127,1595
1790073085937,Cam Dahua Ch2 Fixed,166.59999999999127,1936
1790073087603.6,Cam trong khu làm việc,199.89999999999418,1569
1790073087903.6,Cam Dahua Ch2 Fixed,133.39999999999418,1982
1790073090136.8,Cam trong khu làm việc,233.3000000000029,1616
1790073092603.4001,Cam trong khu làm việc,199.90000000000873,1664
1790073095136.7002,Cam trong khu làm việc,233.40000000000873,1711
1790073097603.2002,Cam trong khu làm việc,200,1759
1790073097903.2002,Cam Dahua Ch2 Fixed,133.40000000000873,2226
1790073099903.1,Cam Dahua Ch2 Fixed,133.3000000000029,2274
1790073100269.8,Cam trong khu làm việc,366.6999999999971,1807
1790073102003.1,Cam hướng ra cửa,133.39999999999418,2406
1790073102036.4001,Cam hik 1,166.6999999999971,2404
1790073102036.4001,Cam góc rộng toàn sân,166.6999999999971,2404
1790073102036.4001,Cam mới,166.6999999999971,2382
1790073102069.7002,Cam trong khu làm việc,200,1841
1790073102136.4001,Cam Dahua Ch2 Fixed,366.6999999999971,2321
1790073102169.7002,Cam 4,366.6000000000058,1913
1790073102636.3,Cam trong khu làm việc,233.3000000000029,1849
1790073103902.9001,Cam Dahua Ch2 Fixed,133.3000000000029,2364
1790073105136.2002,Cam trong khu làm việc,233.3000000000029,1896
1790073105902.9001,Cam Dahua Ch2 Fixed,133.3000000000029,2412
1790073107636.1,Cam trong khu làm việc,233.3000000000029,1943
1790073110102.7002,Cam trong khu làm việc,200,1990
1790073111902.6,Cam Dahua Ch2 Fixed,133.3000000000029,2559
1790073112602.6,Cam trong khu làm việc,200,2039
1790073115135.9001,Cam trong khu làm việc,233.40000000000873,2086
1790073115902.5,Cam Dahua Ch2 Fixed,133.29999999998836,2655
1790073117635.8,Cam trong khu làm việc,233.39999999999418,2134
1790073117902.4001,Cam Dahua Ch2 Fixed,133.3000000000029,2703
1790073119902.3,Cam Dahua Ch2 Fixed,133.3000000000029,2752
1790073120102.3,Cam trong khu làm việc,200,2181
1790073121968.9001,Cam 4,166.6999999999971,2308
1790073121968.9001,Cam Dahua Ch2 Fixed,200,2799
1790073122768.9001,Cam mới,133.3000000000029,2898
1790073122835.5,Cam trong khu làm việc,433.29999999998836,2228
1790073123902.1,Cam Dahua Ch2 Fixed,133.1999999999971,2845
1790073125102.1,Cam trong khu làm việc,200,2272
1790073125902.1,Cam Dahua Ch2 Fixed,133.39999999999418,2892
1790073127635.4001,Cam trong khu làm việc,233.40000000000873,2319
1790073129901.9001,Cam Dahua Ch2 Fixed,133.3000000000029,2989
1790073130101.9001,Cam trong khu làm việc,200,2367
1790073132635.1,Cam trong khu làm việc,233.3000000000029,2414
1790073133901.8,Cam Dahua Ch2 Fixed,133.39999999999418,3086
1790073135101.7002,Cam trong khu làm việc,200,2462
1790073137601.6,Cam trong khu làm việc,200,2510
1790073137868.3,Cam Dahua Ch2 Fixed,133.30000000001746,3183
1790073139901.5,Cam Dahua Ch2 Fixed,133.29999999998836,3233
1790073140134.8,Cam trong khu làm việc,233.30000000001746,2558
1790073142601.4001,Cam trong khu làm việc,199.89999999999418,2605
1790073145134.6,Cam trong khu làm việc,199.89999999999418,2652
1790073147601.3,Cam trong khu làm việc,200,2700
1790073149901.1,Cam Dahua Ch2 Fixed,133.29999999998836,3477
1790073150134.4001,Cam trong khu làm việc,233.29999999998836,2747
1790073152634.4001,Cam trong khu làm việc,233.29999999998836,2795
1790073155134.3,Cam trong khu làm việc,200.10000000000582,2841
1790073155900.8,Cam Dahua Ch2 Fixed,133.20000000001164,3623
1790073157634.1,Cam trong khu làm việc,233.29999999998836,2888
1790073157900.8,Cam Dahua Ch2 Fixed,133.30000000001746,3670
1790073159900.7002,Cam Dahua Ch2 Fixed,133.30000000001746,3718
1790073160134.1,Cam trong khu làm việc,233.39999999999418,2935
1790073161900.7002,Cam Dahua Ch2 Fixed,133.39999999999418,3767
1790073162600.7002,Cam trong khu làm việc,200,2983
1790073163900.5,Cam Dahua Ch2 Fixed,133.19999999998254,3814
1790073165100.5,Cam trong khu làm việc,199.89999999999418,3031
1790073165900.5,Cam Dahua Ch2 Fixed,133.39999999999418,3862
