camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
b1269e28,1790073006299,1012.094970703125,12,0,0,0,0,0.223149,12,11.856594832857763,18.59575
1ac2ffac,1790073006299,1011.85205078125,14,0,0,0,0,0.250483,14,13.836014849394843,17.89164285714286
d1f37ed1,1790073006299,1011.73193359375,16,0,0,0,0,0.35506699999999997,16,15.814465738139512,22.191687499999997
06e9e5b9,1790073006299,1011.600830078125,16,0,0,0,0,0.34557899999999997,16,15.816515293650298,21.598687499999997
e0606b55,1790073006299,1011.52978515625,18,0,0,0,0,0.409257,18,17.794829439668508,22.7365
c7e22c1f,1790073006299,1011.446044921875,0,0,0,0,0,0,0,0.0,
b5e8f409,1790073006299,1011.290771484375,20,0,0,0,0,0.14039000000000001,20,19.77670573483426,7.019500000000001
b1269e28,1790073007310,1010.66796875,20,0,0,0,0,0.264795,20,19.78889271096235,13.23975
1ac2ffac,1790073007310,1010.902099609375,26,0,0,0,0,0.22528299999999996,26,25.719602333447245,8.664730769230768
d1f37ed1,1790073007310,1011.06298828125,25,0,0,0,0,0.5063679999999999,25,24.7264515561969,20.25472
06e9e5b9,1790073007310,1011.14599609375,25,0,0,0,0,0.513421,25,24.724421692396323,20.53684
e0606b55,1790073007310,1011.1640625,25,0,0,0,0,0.529458,25,24.72397994267127,21.17832
c7e22c1f,1790073007310,1011.182861328125,18,0,0,0,0,0.325213,18,17.80093461667075,18.067388888888885
b5e8f409,1790073007310,1011.191162109375,20,0,0,0,0,0.3811579999999999,20,19.778653878144468,19.057899999999997
b1269e28,1790073008322,1011.64404296875,20,0,0,0,0,0.760408,20,19.76979960392828,38.0204
1ac2ffac,1790073008322,1011.48583984375,24,0,0,0,0,0.49385799999999996,24,23.727470078777788,20.577416666666664
d1f37ed1,1790073008322,1011.37109375,25,0,0,0,0,0.5328109999999999,25,24.718918856286525,21.312439999999995
06e9e5b9,1790073008322,1011.326171875,25,0,0,0,0,0.517247,25,24.720016840511473,20.68988
e0606b55,1790073008322,1011.3359375,25,0,0,0,0,0.5561879999999999,25,24.719778139991195,22.247519999999994
c7e22c1f,1790073008322,1011.357177734375,25,0,0,0,0,0.49361999999999995,25,24.719258982276244,19.744799999999998
