epoch_ms,name,gap_ms,presented
1790072077844,Cam trong khu làm việc,233.4000000000001,51
1790072077877.4,Cam 4,166.70000000000027,41
1790072077910.6,Cam Dahua Ch2 Fixed,133.29999999999973,48
1790072079877.3,Cam Dahua Ch2 Fixed,133.40000000000055,95
1790072080310.6,Cam trong khu làm việc,166.80000000000018,98
1790072082810.5,Cam trong khu làm việc,166.70000000000073,147
1790072085343.7,Cam trong khu làm việc,166.70000000000073,195
1790072085910.3,Cam Dahua Ch2 Fixed,133.29999999999927,241
1790072087810.3,Cam trong khu làm việc,166.79999999999927,243
1790072087910.2,Cam 4,166.60000000000036,239
1790072087943.6,Cam Dahua Ch2 Fixed,166.70000000000073,290
1790072090310.1,Cam trong khu làm việc,133.1999999999989,291
1790072091910.1,Cam 4,133.39999999999782,318
1790072091910.1,Cam Dahua Ch2 Fixed,133.39999999999782,385
1790072092776.7,Cam trong khu làm việc,133.29999999999927,339
1790072095343.3,Cam trong khu làm việc,200,388
1790072095910,Cam Dahua Ch2 Fixed,166.79999999999927,482
1790072097809.8,Cam trong khu làm việc,200,435
1790072097909.8,Cam Dahua Ch2 Fixed,133.29999999999927,530
1790072099909.7,Cam Dahua Ch2 Fixed,166.60000000000218,578
1790072100343.1,Cam trong khu làm việc,233.29999999999927,483
1790072101909.7,Cam Dahua Ch2 Fixed,133.40000000000146,626
1790072102809.7,Cam trong khu làm việc,166.70000000000073,531
1790072103909.6,Cam Dahua Ch2 Fixed,166.59999999999854,674
1790072105309.6,Cam trong khu làm việc,166.6999999999971,578
1790072105909.5,Cam Dahua Ch2 Fixed,133.29999999999927,722
1790072107842.8,Cam trong khu làm việc,200,626
1790072107909.5,Cam Dahua Ch2 Fixed,166.6999999999971,770
1790072109909.4,Cam Dahua Ch2 Fixed,133.3000000000029,818
1790072110309.3,Cam trong khu làm việc,166.60000000000582,672
1790072111909.3,Cam Dahua Ch2 Fixed,133.40000000000146,866
1790072112809.3,Cam trong khu làm việc,166.70000000000437,720
1790072113909.2,Cam Dahua Ch2 Fixed,133.29999999999563,914
1790072115342.5,Cam trong khu làm việc,200,768
1790072115909.1,Cam Dahua Ch2 Fixed,133.29999999999563,962
1790072117809,Cam trong khu làm việc,166.59999999999854,814
1790072117942.4,Cam Dahua Ch2 Fixed,166.70000000000437,1010
1790072120309,Cam trong khu làm việc,166.6999999999971,862
1790072121908.9,Cam Dahua Ch2 Fixed,166.70000000000437,1106
1790072122808.9,Cam trong khu làm việc,166.70000000000437,909
1790072123908.8,Cam Dahua Ch2 Fixed,166.60000000000582,1154
1790072125342,Cam trong khu làm việc,266.59999999999854,957
1790072125875.4,Cam Dahua Ch2 Fixed,133.40000000000146,1202
1790072127808.7,Cam trong khu làm việc,166.6999999999971,1003
1790072130308.6,Cam trong khu làm việc,166.6999999999971,1051
1790072132758.4,Cam trong khu làm việc🎯Chưa có đối tượng được xác thực,133.3000000000029,1099
1790072133875.1,Cam Dahua Ch2 Fixed,133.40000000000146,1396
1790072135308.3,Cam trong khu làm việc,233.3000000000029,1147
1790072137808.3,Cam trong khu làm việc,200,1194
1790072139908.2,Cam Dahua Ch2 Fixed,133.3000000000029,1543
1790072140274.8,Cam trong khu làm việc,133.3000000000029,1242
1790072141908.1,Cam Dahua Ch2 Fixed,133.40000000000873,1591
1790072142808.1,Cam trong khu làm việc,166.70000000001164,1291
1790072143941.4,Cam Dahua Ch2 Fixed,166.79999999998836,1639
1790072145274.7,Cam trong khu làm việc,133.39999999999418,1338
1790072145941.3,Cam Dahua Ch2 Fixed,166.6999999999971,1686
1790072147807.9,Cam trong khu làm việc,166.6999999999971,1386
1790072147907.8,Cam Dahua Ch2 Fixed,133.3000000000029,1733
1790072149974.4,Cam 4,166.59999999999127,1474
1790072149974.4,Cam Dahua Ch2 Fixed,233.29999999998836,1782
1790072150341.1,Cam trong khu làm việc,200,1433
1790072150741,Cam Dahua Ch2 Fixed,133.1999999999971,1800
1790072150741,Cam mới,133.1999999999971,1850
1790072151907.7,Cam Dahua Ch2 Fixed,166.6999999999971,1826
1790072152807.6,Cam trong khu làm việc,166.70000000001164,1480
1790072153907.6,Cam Dahua Ch2 Fixed,133.3000000000029,1874
1790072155274.2,Cam trong khu làm việc,200,1527
1790072155907.5,Cam Dahua Ch2 Fixed,133.3000000000029,1922
1790072157774.1,Cam trong khu làm việc,133.3000000000029,1575
1790072157907.5,Cam Dahua Ch2 Fixed,133.39999999999418,1970
1790072159907.3,Cam Dahua Ch2 Fixed,166.60000000000582,2018
1790072160307.3,Cam trong khu làm việc,199.90000000000873,1623
1790072161907.3,Cam Dahua Ch2 Fixed,133.3000000000029,2066
1790072162807.3,Cam trong khu làm việc,233.40000000000873,1670
1790072163907.2,Cam Dahua Ch2 Fixed,166.59999999999127,2114
1790072165307.1,Cam trong khu làm việc,233.3000000000029,1717
1790072167807.1,Cam trong khu làm việc,200.10000000000582,1764
1790072167907.1,Cam Dahua Ch2 Fixed,133.40000000000873,2211
1790072169906.9,Cam Dahua Ch2 Fixed,133.29999999998836,2259
1790072170273.6,Cam trong khu làm việc,199.90000000000873,1812
1790072171940.2,Cam Dahua Ch2 Fixed,166.59999999999127,2308
1790072172806.8,Cam trong khu làm việc,200,1859
1790072175306.7,Cam trong khu làm việc,233.3000000000029,1906
1790072177839.9,Cam trong khu làm việc,266.59999999999127,1953
1790072177906.7,Cam Dahua Ch2 Fixed,133.39999999999418,2452
1790072180306.5,Cam trong khu làm việc,200,2000
1790072181906.4,Cam Dahua Ch2 Fixed,133.29999999998836,2548
1790072182839.8,Cam trong khu làm việc,266.6999999999971,2047
1790072184006.4,Cam 4,200,2149
1790072184006.4,Cam Dahua Ch2 Fixed,233.29999999998836,2596
1790072185273.1,Cam trong khu làm việc,200.10000000000582,2093
1790072185906.3,Cam Dahua Ch2 Fixed,133.3000000000029,2641
1790072187806.2,Cam trong khu làm việc,166.59999999999127,2141
