camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
b1269e28,1790072076304,1010.676025390625,12,0,0,0,0,0.178068,12,11.873240977851449,14.839
1ac2ffac,1790072076304,1010.565185546875,15,0,0,0,0,0.21148399999999998,15,14.843179059134751,14.098933333333331
d1f37ed1,1790072076304,1010.488037109375,16,0,0,0,0,0.329156,16,15.833933121830876,20.57225
06e9e5b9,1790072076304,1010.419921875,16,0,0,0,0,0.30483499999999997,16,15.835000531570453,19.0521875
e0606b55,1790072076304,1010.39599609375,18,0,0,0,0,0.37489,18,17.814797435450114,20.827222222222222
c7e22c1f,1790072076304,1010.33203125,0,0,0,0,0,0,0,0.0,
b5e8f409,1790072076304,1010.31103515625,23,0,0,0,0,0.15751699999999996,22,22.76526653640176,7.159863636363635
b1269e28,1790072077316,1011.955078125,20,0,0,0,0,0.299641,21,19.76372314575167,14.268619047619046
1ac2ffac,1790072077316,1012.037841796875,24,0,0,0,0,0.35648599999999997,25,23.71452826051243,14.25944
d1f37ed1,1790072077316,1012.075927734375,25,0,0,0,0,0.5288959999999999,25,24.701704007489635,21.155839999999998
06e9e5b9,1790072077316,1012.174072265625,25,0,0,0,0,0.52613,25,24.699308829399897,21.0452
e0606b55,1790072077316,1012.19580078125,25,0,0,0,0,0.5854699999999999,25,24.698778616453534,23.418799999999997
c7e22c1f,1790072077316,1012.223876953125,18,0,0,0,0,0.35289299999999996,18,17.782627351353778,19.605166666666666
b5e8f409,1790072077316,1012.197998046875,20,0,0,0,0,0.14759100000000003,20,19.758980000545108,7.379550000000002
b1269e28,1790072078328,1012.0439453125,20,0,0,0,0,0.9142600000000001,19,19.76198770086449,48.11894736842106
1ac2ffac,1790072078328,1012.095947265625,26,0,0,0,0,0.493977,25,25.689264017155764,19.759079999999997
d1f37ed1,1790072078328,1012.131103515625,25,0,0,0,0,0.560126,25,24.70035740741768,22.40504
06e9e5b9,1790072078328,1012.06494140625,25,0,0,0,0,0.5332919999999999,25,24.701972153351,21.331679999999995
e0606b55,1790072078328,1012.0,25,0,0,0,0,0.523241,25,24.703557312252965,20.92964
c7e22c1f,1790072078328,1011.965087890625,25,0,0,0,0,0.506041,25,24.70440956823013,20.241639999999997
b5e8f409,1790072078328,1011.93896484375,19,0,1,0.243,0,0.9466159999999999,19,18.775835954625705,49.8218947368421
b1269e28,1790072079339,1010.208984375,20,0,0,0,0,1.3955769999999998,20,19.797883714500596,69.77884999999999
1ac2ffac,1790072079339,1010.066162109375,25,0,0,0,0,0.57959,25,24.750853892373907,23.183600000000002
d1f37ed1,1790072079339,1010.1279296875,26,0,0,0,0,0.5843589999999999,26,25.73931403722649,22.475346153846147
06e9e5b9,1790072079339,1010.1630859375,26,0,0,0,0,0.575876,26,25.73841824349603,22.149076923076926
e0606b55,1790072079339,1010.2451171875,26,0,0,0,0,0.5653330000000001,26,25.73632830058454,21.743576923076926
c7e22c1f,1790072079339,1010.301025390625,26,0,0,0,0,0.560475,26,25.734904099446304,21.556730769230764
b5e8f409,1790072079339,1010.342041015625,21,0,0,0.0,0,1.363286,21,20.7850402611082,64.91838095238096
b1269e28,1790072080352,1013.0,20,0,0,0,0,1.522977,20,19.743336623889437,76.14885000000001
1ac2ffac,1790072080352,1013.096923828125,25,0,0,0,0,0.521541,25,24.67680970299869,20.86164
d1f37ed1,1790072080352,1013.114990234375,25,0,0,0,0,0.5142670000000003,25,24.67636965298132,20.57068000000001
06e9e5b9,1790072080352,1013.202880859375,25,0,0,0,0,0.5247709999999999,25,24.67422909298835,20.990839999999995
e0606b55,1790072080352,1013.2109375,25,0,0,0,0,0.5392159999999997,25,24.6740328935701,21.568639999999988
c7e22c1f,1790072080352,1013.27294921875,25,0,0,0,0,0.5088710000000001,25,24.672522857020322,20.354840000000003
b5e8f409,1790072080352,1013.260009765625,19,0,0,0.0,0,0.8184559999999999,19,18.751356825376785,43.076631578947364
b1269e28,1790072081363,1011.427001953125,20,0,0,0,0,1.8058139999999998,20,19.774041983631864,90.29069999999999
1ac2ffac,1790072081363,1011.54296875,25,0,0,0,0,0.5624049999999996,26,24.71471877353208,21.630961538461523
d1f37ed1,1790072081363,1011.423095703125,26,0,0,0,0,0.6102919999999998,26,25.70635385968245,23.472769230769224
06e9e5b9,1790072081363,1011.30615234375,26,0,0,0,0,0.5783870000000002,26,25.709326438629653,22.245653846153854
e0606b55,1790072081363,1011.2900390625,26,0,0,0,0,0.553391,26,25.709736075421922,21.28426923076923
c7e22c1f,1790072081363,1011.179931640625,26,0,0,0,0,0.545131,26,25.712535609577785,20.966576923076925
b5e8f409,1790072081363,1011.10791015625,20,0,0,0.0,0,1.697076,21,19.78028240023296,80.81314285714286
b1269e28,1790072082375,1011.5,20,0,0,0,0,1.7861459999999996,20,19.77261492832427,89.30729999999997
